,,Route Data,,,,,
Name,Team,Route %,Blocking %,Routes,Plays,Snaps,Targets
Zach Ertz,PHI,94.2,5.8,49,52,84,10
Hunter Henry,LAC,86.0,14.0,43,50,69,7
Jimmy Graham,CHI,91.1,8.9,41,45,55,10
Noah Fant,DEN,95.1,4.9,39,41,53,10
Dalton Schultz,DAL,85.0,15.0,34,40,55,6
Evan Engram,NYG,97.1,2.9,34,35,44,5
Darren Waller,LV,94.4,5.6,34,36,56,4
Logan Thomas,WAS,89.5,10.5,34,38,55,7
T.J. Hockenson,DET,94.4,5.6,34,36,55,7
Greg Olsen,SEA,91.7,8.3,33,36,48,6
Eric Ebron,PIT,88.6,11.4,31,35,60,7
Drew Sample,CIN,66.0,34.0,31,47,64,1
Tyler Eifert,JAX,100.0,0.0,30,30,40,3
Hayden Hurst,ATL,96.6,3.4,28,29,43,3
Jordan Akins,HOU,100.0,0.0,26,26,32,3
Jonnu Smith,TEN,80.6,19.4,25,31,66,8
Ian Thomas,CAR,100.0,0.0,24,24,35,2
Chris Herndon,NYJ,85.2,14.8,23,27,51,5
Rob Gronkowski,TB,62.2,37.8,23,37,63,7
Tyler Kroft,BUF,85.2,14.8,23,27,44,5
Ross Dwelley,SF,75.0,25.0,21,28,62,4
Mike Gesicki,MIA,100.0,0.0,19,19,30,3
Austin Hooper,CLE,82.6,17.4,19,23,54,4
Jared Cook,NO,100.0,0.0,19,19,21,3
Adam Trautman,NO,95.0,5.0,19,20,32,2
Robert Tonyan,GB,78.3,21.7,18,23,39,5
Dan Arnold,ARI,100.0,0.0,17,17,31,2
Kyle Rudolph,MIN,76.2,23.8,16,21,48,3
Jack Doyle,IND,88.9,11.1,16,18,32,0
James O'Shaughnessy,JAX,88.2,11.8,15,17,27,4
Jordan Reed,SF,100.0,0.0,15,15,18,6
Irv Smith,MIN,93.8,6.3,15,16,36,0
Darrell Daniels,ARI,68.4,31.6,13,19,38,2
Tyler Higbee,LAR,65.0,35.0,13,20,50,2
Demetrius Harris,CHI,72.2,27.8,13,18,34,3
Gerald Everett,LAR,70.6,29.4,12,17,28,2
Harrison Bryant,CLE,85.7,14.3,12,14,40,2
Anthony Firkser,TEN,100.0,0.0,11,11,19,0
Richard Rodgers,PHI,78.6,21.4,11,14,33,2
O.J. Howard,TB,71.4,28.6,10,14,33,4
Ryan Izzo,NE,58.8,41.2,10,17,43,1
Jesse James,DET,69.2,30.8,9,13,33,4
Jake Butt,DEN,81.8,18.2,9,11,18,1
Devin Asiasi,NE,69.2,30.8,9,13,29,0
Mo Alie-Cox,IND,88.9,11.1,8,9,36,3
Durham Smythe,MIA,61.5,38.5,8,13,42,1
Darren Fells,HOU,80.0,20.0,8,10,24,2
Blake Bell,DAL,50.0,50.0,7,14,27,1
Jace Sternberger,GB,70.0,30.0,7,10,20,3
Foster Moreau,LV,100.0,0.0,7,7,15,2
Cole Kmet,CHI,66.7,33.3,6,9,26,0
Marcus Baugh,WAS,100.0,0.0,6,6,14,0
Will Dissly,SEA,46.2,53.8,6,13,30,2
Chris Manhertz,CAR,60.0,40.0,6,10,24,0
Vance McDonald,PIT,42.9,57.1,6,14,41,3
Ryan Griffin,NYJ,62.5,37.5,5,8,18,2
Josh Hill,NO,62.5,37.5,5,8,20,0
Luke Stocker,ATL,33.3,66.7,5,15,32,1
MyCole Pruitt,TEN,55.6,44.4,5,9,25,2
Kaden Smith,NYG,83.3,16.7,5,6,16,2
Dallas Goedert,PHI,100.0,0.0,4,4,6,1
Jacob Hollister,SEA,80.0,20.0,4,5,11,2
Cethan Carter,CIN,66.7,33.3,4,6,9,1
Jason Witten,LV,66.7,33.3,4,6,15,0
Marcedes Lewis,GB,27.3,72.7,3,11,20,2
Jaeden Graham,ATL,75.0,25.0,3,4,7,0
Noah Togiai,IND,75.0,25.0,3,4,16,1
Trevon Wesco,NYJ,75.0,25.0,3,4,15,0
Tyler Conklin,MIN,100.0,0.0,2,2,10,0
Virgil Green,LAC,40.0,60.0,2,5,12,1
Stephen Anderson,LAC,100.0,0.0,2,2,5,0
Jeremy Sprinkle,WAS,50.0,50.0,1,2,7,0
Johnny Mundt,LAR,0.0,0.0,0,0,0,0
Adam Shaheen,MIA,0.0,100.0,0,3,24,0
Mark Andrews,BAL,0.0,0.0,0,0,44,8
Jordan Thomas,ARI,0.0,0.0,0,0,0,0
Nick Keizer,KC,0.0,0.0,0,0,20,1
J.P. Holtz,CHI,0.0,100.0,0,1,2,0
Nick Boyle,BAL,0.0,0.0,0,0,26,1
Cameron Brate,TB,0.0,0.0,0,0,5,0
Derek Carrier,LV,0.0,0.0,0,0,1,0
Lee Smith,BUF,0.0,0.0,0,0,1,1
Levine Toilolo,NYG,0.0,0.0,0,0,4,0
Travis Kelce,KC,0.0,0.0,0,0,61,7
Stephen Carlson,CLE,0.0,0.0,0,0,6,0
Charlie Woerner,SF,0.0,100.0,0,2,12,0
Tyler Davis,JAX,0.0,0.0,0,0,12,0
Sean McKeon,DAL,0.0,0.0,0,0,4,0