,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Jake Bailey,NE,2019,Combine,6-2,202,30.00,8.75,4.72,60.0,,-,,-,33.0,80.0,117.0,50.0,0.0,0.0
Joseph Charlton,CAR,2020,Combine,6-4,195,32.38,8.50,,-,,-,,-,,-,,-,,-
Trevor Daniel,FA,2018,Combine,6-1,231,31.50,9.48,4.98,0.0,,-,,-,32.5,40.0,,-,23.0,83.3
Joseph Davidson,FA,2018,Combine,6-7,225,32.25,8.50,,-,,-,,-,,-,,-,,-
Michael Dickson,SEA,2018,Combine,6-2,208,31.25,9.25,,-,,-,,-,,-,,-,,-
Riley Dixon,NYG,2016,Combine,6-4,221,32.25,9.68,,-,,-,,-,,-,,-,,-
Lachlan Edwards,FA,2016,Combine,6-4,209,32.38,9.38,,-,,-,,-,,-,,-,,-
Jack Fox,DET,2019,Combine,6-2,224,31.75,9.25,4.73,50.0,,-,,-,27.5,0.0,114.0,0.0,0.0,0.0
Sterling Hofrichter,ATL,2020,Combine,5-9,196,29.38,8.63,,-,,-,,-,,-,,-,,-
Hayden Hunt,FA,2017,Combine,6-0,220,29.88,9.25,,-,,-,,-,,-,,-,,-
Cameron Johnston,PHI,2017,Combine,5-11,194,31.88,9.88,,-,,-,,-,,-,,-,,-
Chris Jones,DAL,2018,Combine,6-0,205,,,4.57,100.0,,-,,-,,-,,-,14.0,66.7
Drew Kaser,FA,2016,Combine,6-2,206,31.00,9.00,,-,,-,,-,,-,,-,,-
Braden Mann,NYJ,2020,Combine,5-11,198,30.00,9.25,,-,,-,,-,,-,,-,,-
Will Monday,FA,2016,Combine,6-4,210,32.50,8.88,,-,,-,,-,,-,,-,,-
Nick O'Toole,FA,2016,Combine,6-3,219,32.50,9.75,,-,,-,,-,,-,,-,,-
Jaden Oberkrom,FA,2016,Combine,6-2,186,31.75,8.50,4.96,10.0,,-,,-,,-,,-,,-
Alex Pechin,FA,2020,Combine,6-0,213,29.63,9.38,4.69,80.0,,-,,-,,-,,-,13.0,50.0
Austin Rekhow,FA,2017,Combine,6-3,213,31.88,9.88,,-,,-,,-,,-,,-,,-
JK Scott,GB,2018,Combine,6-6,208,33.13,9.13,4.83,20.0,,-,,-,30.5,20.0,,-,,-
Arryn Siposs,FA,2020,Combine,6-2,213,32.00,9.25,,-,,-,,-,,-,,-,,-
Johnny Townsend,FA,2018,Combine,6-1,210,30.67,9.50,4.75,40.0,,-,,-,,-,,-,,-
Shane Tripucka,FA,2018,Combine,6-2,207,31.50,9.75,,-,,-,,-,,-,,-,,-
Michael Turk,FA,2020,Combine,6-0,226,31.13,9.88,4.79,30.0,,-,,-,,-,,-,25.0,100.0
Justin Vogel,FA,2017,Combine,6-5,220,,,4.70,70.0,,-,,-,34.0,100.0,,-,,-
Ryan Winslow,FA,2018,Combine,6-5,217,30.25,8.68,,-,,-,,-,,-,,-,,-
Mitch Wishnowsky,SF,2019,Combine,6-2,220,31.25,9.25,4.63,90.0,,-,,-,32.5,40.0,117.0,50.0,0.0,0.0