,,,Fantasy,,Rushing,,,,Receiving,,,,,,This Week,
,Name,Games,Points,Pts/G,ATT,YDS,TD,YPC,REC,YDS,TD,TAR,YPT,Catch %,Opp,Opp RBs This Week
32,Jaguars,1,50.80,50.8,20,76,1,3.80,17,142,1,17,8.35,100.0,@HOU,"David Johnson, Duke Johnson, C.J. Prosise"
31,Cardinals,1,47.70,47.7,23,105,0,4.57,9,162,2,14,11.57,64.3,@NYJ,"Le'Veon Bell, Frank Gore, La'Mical Perine"
30,Panthers,1,46.60,46.6,29,122,3,4.21,8,84,0,10,8.40,80.0,@ATL,"Todd Gurley, Brian Hill, Ito Smith"
29,Falcons,1,35.20,35.2,16,43,1,2.69,8,49,2,8,6.13,100.0,CAR,"Mike Davis, Trenton Cannon"
28,Rams,1,32.90,32.9,24,106,1,4.42,5,53,1,7,7.57,71.4,@WAS,"Antonio Gibson, J.D. McKissic, Peyton Barber"
27,Vikings,1,32.60,32.6,28,139,1,4.96,9,37,0,11,3.36,81.8,@SEA,"Chris Carson, Carlos Hyde, Travis Homer"
26,Cowboys,1,31.90,31.9,35,124,2,3.54,4,35,0,5,7.00,80.0,NYG,"Devonta Freeman, Wayne Gallman, Dion Lewis"
25,Packers,1,29.80,29.8,18,100,2,5.56,5,28,0,6,4.67,83.3,-,Bye Week
24,Raiders,1,28.60,28.6,25,98,2,3.92,3,38,0,4,9.50,75.0,@KC,"Clyde Edwards-Helaire, Darrel Williams, Darwin Thompson"
23,Buccaneers,1,28.10,28.1,28,60,1,2.14,5,51,1,9,5.67,55.6,@CHI,"David Montgomery, Cordarrelle Patterson, Ryan Nall"
T21,Texans,1,28.00,28.0,33,163,1,4.94,2,7,0,4,1.75,50.0,JAX,"James Robinson, Chris Thompson, Dare Ogunbowale"
T21,49ers,1,28.00,28.0,22,86,1,3.91,5,24,1,7,3.43,71.4,MIA,"Myles Gaskin, Matt Breida, Jordan Howard"
20,Bears,1,27.10,27.1,24,115,1,4.79,6,36,0,8,4.50,75.0,TB,"Ronald Jones, Leonard Fournette, Ke'Shawn Vaughn"
19,Dolphins,1,25.30,25.3,26,119,1,4.58,4,34,0,4,8.50,100.0,@SF,"Raheem Mostert, Jerick McKinnon, Jeff Wilson"
18,Titans,1,23.30,23.3,23,102,1,4.43,5,31,0,5,6.20,100.0,BUF,"Devin Singletary, Zack Moss, T.J. Yeldon"
17,Patriots,1,22.40,22.4,22,69,1,3.14,6,35,0,6,5.83,100.0,DEN,"Melvin Gordon, Phillip Lindsay, Royce Freeman"
16,Eagles,1,22.20,22.2,29,63,2,2.17,3,9,0,7,1.29,42.9,@PIT,"James Conner, Benny Snell, Anthony McFarland"
15,Bengals,1,22.10,22.1,33,148,1,4.48,1,3,0,1,3.00,100.0,@BAL,"Mark Ingram, J.K. Dobbins, Gus Edwards"
14,Jets,1,22.00,22.0,18,41,0,2.28,8,39,1,11,3.55,72.7,ARI,"Kenyan Drake, Chase Edmonds, Eno Benjamin"
T12,Chiefs,1,21.30,21.3,16,91,1,5.69,3,32,0,5,6.40,60.0,LV,"Josh Jacobs, Jalen Richard, Devontae Booker"
T12,Seahawks,1,21.30,21.3,18,72,1,4.00,7,11,0,10,1.10,70.0,MIN,"Dalvin Cook, Alexander Mattison, Ameer Abdullah"
11,Broncos,1,20.60,20.6,31,116,0,3.74,4,20,0,5,4.00,80.0,@NE,"Damien Harris, James White, Rex Burkhead"
10,Browns,1,19.60,19.6,22,67,2,3.05,1,9,0,1,9.00,100.0,IND,"Jonathan Taylor, Nyheim Hines, Jordan Wilkins"
9,Giants,1,19.30,19.3,26,124,0,4.77,3,9,0,6,1.50,50.0,@DAL,"Ezekiel Elliott, Tony Pollard, Rico Dowdle"
T7,Ravens,1,19.20,19.2,24,137,0,5.71,5,15,0,7,2.14,71.4,CIN,"Joe Mixon, Giovani Bernard, Samaje Perine"
T7,Bills,1,19.20,19.2,14,46,1,3.29,4,46,0,4,11.50,100.0,@TEN,"Derrick Henry, Darrynton Evans, Jeremy McNichols"
T5,Lions,1,15.10,15.1,20,105,0,5.25,3,16,0,5,3.20,60.0,-,Bye Week
T5,Steelers,1,15.10,15.1,16,7,0,0.44,7,74,0,11,6.73,63.6,PHI,"Miles Sanders, Boston Scott, Corey Clement"
4,Saints,1,14.30,14.3,22,71,0,3.23,4,32,0,5,6.40,80.0,LAC,"Joshua Kelley, Justin Jackson"
3,Chargers,1,13.90,13.9,20,76,0,3.80,5,23,0,7,3.29,71.4,@NO,"Alvin Kamara, Latavius Murray, Dwayne Washington"
2,Colts,1,13.80,13.8,16,62,0,3.88,4,36,0,4,9.00,100.0,@CLE,"Kareem Hunt, D'Ernest Johnson, Dontrell Hilliard"
1,Football Team,1,11.60,11.6,16,55,0,3.44,4,21,0,4,5.25,100.0,LAR,"Malcolm Brown, Darrell Henderson, Cam Akers"