,,,Extra Points,,,Field Goals,,,0-29,,30-39,,40-49,,50+,
Name,Team,G,XPM,XPA,XP%,FGM,FGA,FG%,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA
Justin Tucker,BAL,16,27,27,100.0,38,39,97.4,4,4,10,11,14,14,10,10
Caleb Sturgis,PHI,16,30,31,96.8,35,41,85.4,12,12,12,12,7,11,4,6
Nick Novak,HOU,16,22,25,88.0,35,41,85.4,13,13,11,11,8,11,3,6
Matt Bryant,ATL,16,56,57,98.2,34,37,91.9,12,12,7,8,9,9,6,8
Dustin Hopkins,WAS,16,36,39,92.3,34,42,81.0,12,12,12,14,7,9,3,7
Stephen Hauschka,SEA,16,29,35,82.9,33,37,89.2,11,13,13,13,8,10,1,1
Matt Prater,DET,16,31,33,93.9,31,36,86.1,10,10,4,5,10,14,7,7
Cairo Santos,KC,16,36,39,92.3,31,35,88.6,8,9,15,17,6,7,2,2
Graham Gano,CAR,16,31,34,91.2,30,38,78.9,4,4,9,11,14,17,3,6
Sebastian Janikowski,OAK,16,37,39,94.9,29,35,82.9,10,10,6,6,10,11,3,8
Brandon McManus,DEN,16,32,33,97.0,29,34,85.3,9,9,10,10,7,9,3,6
Wil Lutz,NO,16,49,50,98.0,28,34,82.4,8,8,9,11,8,8,3,7
Jason Myers,JAX,16,29,32,90.6,27,34,79.4,7,7,3,4,10,11,7,12
Stephen Gostkowski,NE,16,46,49,93.9,27,32,84.4,9,9,7,9,9,10,2,4
Dan Bailey,DAL,16,46,46,100.0,27,32,84.4,9,9,8,8,7,9,3,6
Adam Vinatieri,IND,16,44,44,100.0,27,31,87.1,3,3,7,7,10,12,7,9
Nick Folk,NYJ,16,24,26,92.3,27,31,87.1,12,13,10,11,3,3,2,4
Mason Crosby,GB,16,44,47,93.6,26,30,86.7,7,7,13,15,5,6,1,2
Josh Lambo,SD,16,42,46,91.3,26,32,81.3,7,7,13,14,6,8,0,3
Mike Nugent,CIN,13,23,29,79.3,23,29,79.3,9,9,9,10,5,7,0,3
Ryan Succop,TEN,16,39,41,95.1,22,24,91.7,5,5,6,6,8,8,3,5
Roberto Aguayo,TB,16,32,34,94.1,22,31,71.0,5,5,13,15,4,10,0,1
Chris Boswell,PIT,15,36,36,100.0,21,25,84.0,2,2,8,9,11,12,0,2
Chandler Catanzaro,ARI,16,43,47,91.5,21,28,75.0,6,7,6,7,6,8,3,6
Cody Parkey,CLE,14,20,21,95.2,20,25,80.0,6,6,6,6,7,12,1,1
Dan Carpenter,BUF,16,40,45,88.9,19,25,76.0,9,9,5,5,4,9,1,2
Greg Zuerlein,LAR,16,23,23,100.0,19,22,86.4,5,5,9,9,3,4,2,4
Connor Barth,CHI,16,31,32,96.9,18,23,78.3,7,8,7,8,3,4,1,3
Phil Dawson,SF,16,33,34,97.1,18,21,85.7,4,4,6,6,7,9,1,2
Andrew Franks,MIA,16,41,42,97.6,16,21,76.2,8,10,6,6,1,3,1,2
Kai Forbath,MIN,7,11,14,78.6,15,15,100.0,5,5,5,5,4,4,1,1
Blair Walsh,MIN,9,15,19,78.9,12,16,75.0,2,2,5,6,4,6,1,2
Josh Brown,NYG,5,9,9,100.0,11,12,91.7,4,4,3,3,4,4,0,1
Robbie Gould,NYG,10,20,23,87.0,10,10,100.0,3,3,3,3,4,4,0,0
Randy Bullock,CIN/PIT,5,9,10,90.0,8,9,88.9,4,4,2,2,2,3,0,0
Patrick Murray,CLE,2,3,4,75.0,1,2,50.0,0,0,1,1,0,0,0,1