,,,,Passing,,,,,,Red Zone Passes,,
Name,Team,Pos,G,QBR,COMP,ATT,YDS,TD,INT,In20,In10,In5
Ben Roethlisberger,PIT,QB,16,96.5,452,675,5129,34,16,94,38,22
Patrick Mahomes,KC,QB,16,113.8,383,580,5097,50,12,103,47,24
Matt Ryan,ATL,QB,16,108.1,422,608,4924,35,7,77,41,22
Jared Goff,LAR,QB,16,101.1,364,561,4688,32,12,101,50,15
Andrew Luck,IND,QB,16,98.7,430,639,4593,39,15,100,43,26
Aaron Rodgers,GB,QB,16,97.6,372,597,4442,25,2,73,25,14
Tom Brady,NE,QB,16,97.7,375,570,4355,29,11,88,40,17
Philip Rivers,LAC,QB,16,105.5,347,508,4308,32,12,71,38,15
Eli Manning,NYG,QB,16,92.4,380,576,4299,21,11,86,36,22
Kirk Cousins,MIN,QB,16,99.7,425,606,4298,30,10,72,30,17
Deshaun Watson,HOU,QB,16,103.1,345,505,4165,26,9,79,42,27
Derek Carr,OAK,QB,16,93.9,381,553,4049,19,10,64,41,13
Drew Brees,NO,QB,15,115.7,364,489,3992,32,5,93,43,25
Case Keenum,DEN,QB,16,81.2,365,586,3890,18,15,70,36,16
Dak Prescott,DAL,QB,16,96.9,356,526,3885,22,8,70,30,15
Matthew Stafford,DET,QB,16,89.9,367,555,3777,21,11,72,28,10
Baker Mayfield,CLE,QB,14,93.7,310,486,3725,27,14,57,25,14
Russell Wilson,SEA,QB,16,110.9,280,427,3448,35,7,63,33,14
Cam Newton,CAR,QB,14,94.2,320,471,3395,24,13,57,27,15
Mitchell Trubisky,CHI,QB,14,95.4,289,434,3223,24,12,64,31,16
Carson Wentz,PHI,QB,11,102.2,279,401,3074,21,7,58,24,11
Jameis Winston,TB,QB,11,90.2,244,378,2992,19,14,50,18,6
Sam Darnold,NYJ,QB,13,77.6,239,414,2865,17,15,46,14,8
Blake Bortles,JAX,QB,13,79.8,243,403,2718,13,11,39,19,8
Andy Dalton,CIN,QB,11,89.6,226,365,2566,21,11,48,22,14
Marcus Mariota,TEN,QB,14,92.3,228,331,2528,11,8,51,24,9
Joe Flacco,BAL,QB,9,84.2,232,379,2465,12,6,47,23,9
Ryan Fitzpatrick,TB,QB,8,100.4,164,246,2366,17,12,38,18,12
Josh Rosen,ARI,QB,14,66.7,217,393,2278,11,14,38,16,6
Nick Mullens,SF,QB,8,90.8,176,274,2277,13,10,39,15,9
Alex Smith,WAS,QB,10,85.7,205,328,2180,10,5,31,15,4
Josh Allen,BUF,QB,12,67.9,169,320,2074,10,12,27,8,8
Ryan Tannehill,MIA,QB,11,92.7,176,274,1979,17,9,26,9,3
Nick Foles,PHI,QB,5,96.0,141,195,1413,7,4,28,13,6
C.J. Beathard,SF,QB,6,81.8,102,169,1252,8,7,20,12,6
Brock Osweiler,MIA,QB,7,86.0,113,178,1247,6,4,15,9,4
Lamar Jackson,BAL,QB,16,84.5,99,170,1201,6,3,24,10,3
Jeff Driskel,CIN,QB,9,82.2,105,176,1003,6,2,20,7,3
Jimmy Garoppolo,SF,QB,3,90.0,53,89,718,5,3,16,3,2
Cody Kessler,JAX,QB,5,77.4,85,131,709,2,2,13,8,1
Blaine Gabbert,TEN,QB,8,74.9,61,101,626,4,4,8,2,2
Josh Johnson,WAS,QB,4,69.4,52,91,590,3,4,9,2,0
Josh McCown,NYJ,QB,4,55.8,60,110,539,1,4,11,2,2
Chase Daniel,CHI,QB,5,90.6,53,76,515,3,2,11,6,1
Tyrod Taylor,CLE,QB,4,64.5,42,85,473,2,2,2,0,0
Derek Anderson,BUF,QB,2,56.0,42,70,465,0,4,3,0,0
Sam Bradford,ARI,QB,3,62.5,50,80,400,2,4,6,6,1
Colt McCoy,WAS,QB,3,78.6,34,54,372,3,3,7,4,1
Taylor Heinicke,CAR,QB,6,60.6,35,57,320,1,3,8,3,2
Nathan Peterman,BUF,QB,4,30.7,44,81,296,1,7,4,1,0
Kyle Allen,CAR,QB,2,113.1,20,31,266,2,0,5,4,0
Matt Barkley,BUF,QB,1,117.4,15,25,232,2,0,7,3,1
DeShone Kizer,GB,QB,3,40.5,20,42,187,0,2,1,1,0
Mike Glennon,ARI,QB,2,112.0,15,21,174,1,0,6,3,0
Mark Sanchez,WAS,QB,2,28.0,19,35,138,0,3,0,0,0
Teddy Bridgewater,NO,QB,5,70.6,14,23,118,1,1,3,2,0
Odell Beckham,NYG,WR,12,639.6,2,2,106,2,0,0,0,0
Taysom Hill,NO,QB,16,16.4,3,7,64,0,1,2,2,1
Jarvis Landry,CLE,WR,16,175.0,1,2,63,0,0,0,0,0
Matt Cassel,DET,QB,2,26.3,7,17,59,0,1,0,0,0
Albert Wilson,MIA,WR,7,635.4,1,1,52,1,0,0,0,0
Christian McCaffrey,CAR,RB,16,627.1,1,1,50,1,0,0,0,0
Julian Edelman,NE,WR,12,175.0,2,2,43,0,0,0,0,0
Joshua Dobbs,PIT,QB,5,24.0,6,12,43,0,1,0,0,0
Garrett Gilbert,CAR,QB,1,113.2,2,3,40,0,0,0,0,0
Larry Fitzgerald,ARI,WR,16,552.1,1,1,32,1,0,0,0,0
Chad Henne,KC,QB,1,97.9,2,3,29,0,0,0,0,0
Emmanuel Sanders,DEN,WR,12,535.4,1,1,28,1,0,0,0,0
Danny Amendola,MIA,WR,15,535.4,1,1,28,1,0,0,0,0
Sean Mannion,LAR,QB,3,89.6,2,3,23,0,0,0,0,0
Nate Sudfeld,PHI,QB,2,256.3,1,2,22,1,0,0,0,0
Darius Jennings,TEN,WR,16,172.9,1,1,21,0,0,0,0,0
Robert Griffin,BAL,QB,3,44.4,2,6,21,0,0,0,0,0
Matt Schaub,ATL,QB,3,73.5,5,7,20,0,0,0,0,0
Nelson Agholor,PHI,WR,16,147.9,1,1,15,0,0,0,0,0
Logan Thomas,BUF,TE,12,147.9,1,1,15,0,0,0,0,0
Derrick Henry,TEN,RB,16,77.1,2,3,14,0,0,0,0,0
Matt Prater,DET,K,16,452.1,1,1,8,1,0,1,1,0
Anthony Miller,CHI,WR,15,118.8,1,1,8,0,0,0,0,0
Geno Smith,LAC,QB,5,31.3,1,4,8,0,0,1,0,0
AJ McCarron,OAK,QB,2,41.0,1,3,8,0,0,0,0,0
Brian Hoyer,NE,QB,5,58.3,1,2,7,0,0,0,0,0
Mohamed Sanu,ATL,WR,16,220.8,1,2,5,1,0,1,1,1
Kenny Stills,MIA,WR,15,431.3,1,1,3,1,0,1,1,1
Chris Boswell,PIT,K,15,427.1,1,1,2,1,0,1,1,1
Jacoby Brissett,IND,QB,4,45.8,2,4,2,0,0,0,0,0
Tarik Cohen,CHI,RB,16,422.9,1,1,1,1,0,1,1,1
DeAndre Hopkins,HOU,WR,16,2.1,0,1,0,0,0,0,0,0
Antonio Brown,PIT,WR,15,2.1,0,1,0,0,0,0,0,0
Eric Ebron,IND,TE,16,2.1,0,1,0,0,0,1,1,1
Tyler Boyd,CIN,WR,14,2.1,0,1,0,0,0,0,0,0
Dede Westbrook,JAX,WR,16,2.1,0,1,0,0,0,1,0,0
Zay Jones,BUF,WR,16,2.1,0,1,0,0,0,1,0,0
Cole Beasley,DAL,WR,16,2.1,0,1,0,0,0,1,0,0
Bruce Ellington,DET,WR,4,2.1,0,1,0,0,0,0,0,0
Dontrell Hilliard,CLE,RB,11,-414.6,0,1,0,0,1,0,0,0
Kyle Lauletta,NYG,QB,2,-81.3,0,5,0,0,1,0,0,0