,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Julio Jones,ATL,WR,16,113,1677,14.8,104.8,8,170,9.9,24,2,10,2,0,2,2
DeAndre Hopkins,HOU,WR,16,115,1572,13.7,98.3,11,163,9.6,23,4,7,3,0,2,2
Mike Evans,TB,WR,16,86,1524,17.7,95.3,8,138,11.0,26,6,8,1,0,2,1
Tyreek Hill,KC,WR,16,87,1479,17.0,92.4,12,137,10.8,27,8,6,2,1,0,0
JuJu Smith-Schuster,PIT,WR,16,111,1426,12.8,89.1,7,166,8.6,18,5,8,1,0,1,1
Michael Thomas,NO,WR,16,125,1405,11.2,87.8,9,147,9.6,17,2,4,2,1,2,2
Davante Adams,GB,WR,15,111,1386,12.5,92.4,13,169,8.2,18,5,5,1,0,0,0
George Kittle,SF,TE,16,88,1377,15.6,86.1,5,136,10.1,20,6,4,1,1,0,0
Adam Thielen,MIN,WR,16,113,1373,12.2,85.8,9,153,9.0,17,3,9,0,0,1,1
Travis Kelce,KC,TE,16,103,1336,13.0,83.5,10,150,8.9,18,2,5,1,0,2,1
Antonio Brown,PIT,WR,15,104,1297,12.5,86.5,15,168,7.7,17,6,5,2,0,0,0
T.Y. Hilton,IND,WR,14,76,1270,16.7,90.7,6,120,10.6,22,6,5,2,0,0,0
Robert Woods,LAR,WR,16,86,1219,14.2,76.2,6,130,9.4,20,0,3,0,0,0,0
Brandin Cooks,LAR,WR,16,80,1204,15.1,75.3,5,117,10.3,22,4,5,1,0,1,0
Keenan Allen,LAC,WR,16,97,1196,12.3,74.8,6,136,8.8,13,1,3,0,0,3,1
Zach Ertz,PHI,TE,16,116,1163,10.0,72.7,8,156,7.5,13,0,5,0,0,1,0
Kenny Golladay,DET,WR,15,70,1063,15.2,70.9,5,119,8.9,19,3,3,0,0,1,0
Odell Beckham,NYG,WR,12,77,1052,13.7,87.7,6,124,8.5,17,3,5,0,0,2,1
Tyler Boyd,CIN,WR,14,76,1028,13.5,73.4,7,108,9.5,21,1,3,0,0,0,0
Stefon Diggs,MIN,WR,15,102,1021,10.0,68.1,9,149,6.9,13,2,4,0,0,0,0
Amari Cooper,DAL/OAK,WR,15,75,1005,13.4,67.0,7,107,9.4,10,3,4,2,1,2,2
Jarvis Landry,CLE,WR,16,81,976,12.0,61.0,4,149,6.6,13,2,4,0,0,1,1
Tyler Lockett,SEA,WR,16,57,965,16.9,60.3,10,70,13.8,17,6,1,0,0,2,0
Jared Cook,OAK,TE,16,68,896,13.2,56.0,6,101,8.9,15,1,4,1,0,0,0
Corey Davis,TEN,WR,16,65,891,13.7,55.7,4,112,8.0,15,2,2,1,0,1,0
Sterling Shepard,NYG,WR,16,66,872,13.2,54.5,4,107,8.1,12,3,2,1,0,1,0
Emmanuel Sanders,DEN,WR,12,71,868,12.2,72.3,4,98,8.9,13,4,3,0,0,1,0
Christian McCaffrey,CAR,RB,16,107,867,8.1,54.2,6,124,7.0,11,0,2,0,0,4,1
Julian Edelman,NE,WR,12,74,850,11.5,70.8,6,108,7.9,12,0,2,0,0,1,0
Alshon Jeffery,PHI,WR,13,65,843,13.0,64.8,6,92,9.2,9,2,2,1,0,1,0
Chris Godwin,TB,WR,16,59,842,14.3,52.6,7,95,8.9,10,1,3,0,0,4,1
Mohamed Sanu,ATL,WR,16,66,838,12.7,52.4,4,94,8.9,7,2,1,0,0,2,1
Calvin Ridley,ATL,WR,16,64,821,12.8,51.3,10,92,8.9,11,4,1,0,0,2,1
Adam Humphries,TB,WR,16,76,816,10.7,51.0,5,105,7.8,7,1,0,0,0,2,0
Golden Tate,PHI/DET,WR,15,74,795,10.7,53.0,4,113,7.0,9,2,2,0,0,3,0
D.J. Moore,CAR,WR,16,55,788,14.3,49.3,2,82,9.6,9,3,1,1,0,4,3
DeSean Jackson,TB,WR,12,41,774,18.9,64.5,4,74,10.5,13,5,3,0,0,0,0
Allen Robinson,CHI,WR,13,55,754,13.7,58.0,4,94,8.0,11,1,1,0,0,1,1
Robby Anderson,NYJ,WR,14,50,752,15.0,53.7,6,94,8.0,10,2,2,0,0,2,2
James White,NE,RB,16,87,751,8.6,46.9,7,123,6.1,3,1,0,0,0,0,0
Eric Ebron,IND,TE,16,66,750,11.4,46.9,13,110,6.8,7,1,1,0,0,1,1
Jordy Nelson,OAK,WR,15,63,739,11.7,49.3,3,88,8.4,7,3,1,1,0,1,0
Josh Gordon,NE/CLE,WR,12,41,737,18.0,61.4,4,72,10.2,12,3,2,0,0,0,0
Nelson Agholor,PHI,WR,16,64,736,11.5,46.0,4,97,7.6,10,5,1,0,0,1,0
Larry Fitzgerald,ARI,WR,16,69,734,10.6,45.9,6,112,6.6,8,0,1,0,0,0,0
Tarik Cohen,CHI,RB,16,71,725,10.2,45.3,5,91,8.0,9,3,2,1,0,7,3
Saquon Barkley,NYG,RB,16,91,721,7.9,45.1,4,121,6.0,5,2,0,0,0,0,0
Dede Westbrook,JAX,WR,16,66,717,10.9,44.8,5,101,7.1,15,1,1,0,0,3,2
John Brown,BAL,WR,16,42,715,17.0,44.7,5,97,7.4,11,4,2,0,0,0,0
Alvin Kamara,NO,RB,15,81,709,8.8,47.3,4,105,6.8,7,1,2,0,0,1,0
Courtland Sutton,DEN,WR,16,42,704,16.8,44.0,4,84,8.4,16,3,0,0,0,0,0
A.J. Green,CIN,WR,9,46,694,15.1,77.1,6,77,9.0,12,0,2,0,0,2,1
Taylor Gabriel,CHI,WR,16,67,688,10.3,43.0,2,93,7.4,7,3,2,0,0,1,1
Rob Gronkowski,NE,TE,13,47,682,14.5,52.5,3,72,9.5,8,1,2,0,0,1,1
Demaryius Thomas,DEN/HOU,WR,15,59,677,11.5,45.1,5,89,7.6,9,2,1,0,0,0,0
Cole Beasley,DAL,WR,16,65,672,10.3,42.0,3,87,7.7,3,0,1,0,0,0,0
Donte Moncrief,JAX,WR,16,48,668,13.9,41.8,3,89,7.5,7,2,1,0,0,1,1
Mike Williams,LAC,WR,16,43,664,15.4,41.5,10,66,10.1,11,2,0,0,0,0,0
Austin Hooper,ATL,TE,16,71,660,9.3,41.3,4,88,7.5,7,0,0,0,0,0,0
Tyrell Williams,LAC,WR,16,41,653,15.9,40.8,5,65,10.0,11,4,2,0,0,2,0
Zay Jones,BUF,WR,16,56,652,11.6,40.8,7,102,6.4,7,1,0,0,0,1,0
Willie Snead,BAL,WR,16,62,651,10.5,40.7,1,95,6.9,5,0,0,0,0,0,0
David Njoku,CLE,TE,16,56,639,11.4,39.9,4,88,7.3,9,2,0,0,0,0,0
Jimmy Graham,GB,TE,16,55,636,11.6,39.8,2,89,7.1,7,1,1,0,0,0,0
Kyle Rudolph,MIN,TE,16,64,634,9.9,39.6,4,82,7.7,6,1,1,0,0,0,0
Doug Baldwin,SEA,WR,13,50,618,12.4,47.5,5,73,8.5,9,2,1,0,0,0,0
Vance McDonald,PIT,TE,15,50,610,12.2,40.7,4,72,8.5,6,2,1,0,0,2,1
Michael Crabtree,BAL,WR,16,54,607,11.2,37.9,3,100,6.1,6,0,0,0,0,0,0
Jalen Richard,OAK,RB,16,68,607,8.9,37.9,0,81,7.5,5,0,0,0,0,3,2
Christian Kirk,ARI,WR,12,43,590,13.7,49.2,3,68,8.7,8,2,0,0,0,0,0
Antonio Callaway,CLE,WR,16,43,586,13.6,36.6,5,79,7.4,8,3,0,0,0,1,1
Marquez Valdes-Scantling,GB,WR,16,38,581,15.3,36.3,2,73,8.0,9,5,2,0,0,0,0
Todd Gurley,LAR,RB,14,59,580,9.8,41.4,4,81,7.2,5,1,0,0,0,1,1
Evan Engram,NYG,TE,11,45,577,12.8,52.5,3,64,9.0,8,2,0,0,0,0,0
Danny Amendola,MIA,WR,15,59,575,9.7,38.3,1,79,7.3,4,0,0,0,0,2,0
Rashard Higgins,CLE,WR,13,39,572,14.7,44.0,4,53,10.8,11,1,0,0,0,2,1
Trey Burton,CHI,TE,16,54,569,10.5,35.6,6,76,7.5,7,1,1,0,0,1,1
Ezekiel Elliott,DAL,RB,15,77,567,7.4,37.8,3,95,6.0,4,0,0,0,0,6,1
Cooper Kupp,LAR,WR,8,40,566,14.2,70.8,6,55,10.3,9,3,1,1,0,0,0
O.J. Howard,TB,TE,10,34,565,16.6,56.5,5,48,11.8,11,1,0,0,0,0,0
Jordan Reed,WAS,TE,13,54,558,10.3,42.9,2,84,6.6,7,0,0,0,0,1,1
Kenny Stills,MIA,WR,15,37,553,14.9,36.9,6,64,8.6,7,2,2,0,0,1,0
Mark Andrews,BAL,TE,16,34,552,16.2,34.5,3,50,11.0,8,2,0,0,0,0,0
Devin Funchess,CAR,WR,14,44,549,12.5,39.2,4,79,6.9,8,0,0,0,0,0,0
Robert Foster,BUF,WR,13,27,541,20.0,41.6,3,44,12.3,9,4,3,0,0,0,0
Josh Doctson,WAS,WR,15,44,532,12.1,35.5,2,78,6.8,7,0,0,0,0,0,0
Chris Hogan,NE,WR,16,35,532,15.2,33.3,3,54,9.9,11,2,0,0,0,0,0
Sammy Watkins,KC,WR,10,40,519,13.0,51.9,3,55,9.4,7,2,2,0,0,1,0
Marvin Jones,DET,WR,9,35,508,14.5,56.4,5,62,8.2,5,0,1,0,0,0,0
Michael Gallup,DAL,WR,16,33,507,15.4,31.7,2,68,7.5,10,2,0,0,0,0,0
Will Fuller,HOU,WR,7,32,503,15.7,71.9,4,45,11.2,7,1,3,0,0,0,0
Chris Herndon,NYJ,TE,16,39,502,12.9,31.4,4,56,9.0,9,0,0,0,0,2,0
James Conner,PIT,RB,13,55,497,9.0,38.2,1,71,7.0,5,0,0,0,0,4,2
Curtis Samuel,CAR,WR,13,39,494,12.7,38.0,5,65,7.6,6,1,0,0,0,1,1
Seth Roberts,OAK,WR,15,45,494,11.0,32.9,2,64,7.7,7,1,0,0,0,0,0
Keelan Cole,JAX,WR,16,38,491,12.9,30.7,1,70,7.0,7,0,1,0,0,2,2
Melvin Gordon,LAC,RB,12,50,490,9.8,40.8,4,66,7.4,5,1,1,0,0,1,0
T.J. Yeldon,JAX,RB,14,55,487,8.9,34.8,4,78,6.2,4,0,0,0,0,1,1
Kendrick Bourne,SF,WR,16,42,487,11.6,30.4,4,67,7.3,6,0,0,0,0,1,0
Chester Rogers,IND,WR,16,53,485,9.2,30.3,2,72,6.7,5,0,0,0,0,1,0
Kenyan Drake,MIA,RB,16,53,477,9.0,29.8,5,73,6.5,4,1,0,0,0,2,1
Dante Pettis,SF,WR,12,27,467,17.3,38.9,5,45,10.4,9,1,1,0,0,2,0
Taywan Taylor,TEN,WR,13,37,466,12.6,35.8,1,56,8.3,3,2,1,0,0,1,1
Quincy Enunwa,NYJ,WR,11,38,449,11.8,40.8,1,68,6.6,6,2,0,0,0,2,1
Jarius Wright,CAR,WR,16,43,447,10.4,27.9,1,59,7.6,8,0,0,0,0,3,1
David Johnson,ARI,RB,16,50,446,8.9,27.9,3,76,5.9,6,1,0,0,0,3,2
David Moore,SEA,WR,16,26,445,17.1,27.8,5,53,8.4,8,2,1,0,0,2,0
C.J. Uzomah,CIN,TE,16,43,439,10.2,27.4,3,64,6.9,6,0,0,0,0,0,0
Duke Johnson,CLE,RB,16,47,429,9.1,26.8,3,62,6.9,4,0,0,0,0,1,0
Tre'Quan Smith,NO,WR,15,28,427,15.3,28.5,5,44,9.7,6,1,2,1,0,0,0
Nyheim Hines,IND,RB,16,63,425,6.7,26.6,2,81,5.2,3,0,0,0,0,1,0
Anthony Miller,CHI,WR,15,33,423,12.8,28.2,7,54,7.8,6,2,1,0,0,1,0
Jesse James,PIT,TE,16,30,423,14.1,26.4,2,39,10.8,8,2,1,0,0,0,0
Austin Ekeler,LAC,RB,14,39,404,10.4,28.9,3,53,7.6,5,1,0,0,0,1,1
Josh Reynolds,LAR,WR,16,29,402,13.9,25.1,5,53,7.6,6,0,0,0,0,0,0
Ben Watson,NO,TE,16,35,400,11.4,25.0,2,46,8.7,6,0,0,0,0,0,0
Dion Lewis,TEN,RB,16,59,400,6.8,25.0,1,67,6.0,3,0,0,0,0,1,1
Marquise Goodwin,SF,WR,11,23,395,17.2,35.9,4,44,9.0,5,2,1,0,0,1,0
Albert Wilson,MIA,WR,7,26,391,15.0,55.9,4,35,11.2,7,3,1,1,0,0,0
Jamison Crowder,WAS,WR,9,29,388,13.4,43.1,2,49,7.9,4,1,0,0,0,0,0
Theo Riddick,DET,RB,14,61,384,6.3,27.4,0,74,5.2,1,0,0,0,0,0,0
Randall Cobb,GB,WR,9,38,383,10.1,42.6,2,61,6.3,4,1,1,0,0,2,1
Kelvin Benjamin,KC/BUF,WR,15,25,380,15.2,25.3,1,67,5.7,5,1,0,0,0,0,0
Kareem Hunt,KC,RB,11,26,378,14.5,34.4,7,35,10.8,7,2,1,0,0,0,0
Jermaine Kearse,NYJ,WR,14,37,371,10.0,26.5,1,76,4.9,3,0,0,0,0,0,0
Vernon Davis,WAS,TE,14,25,367,14.7,26.2,2,36,10.2,8,2,0,0,0,0,0
Ricky Seals-Jones,ARI,TE,15,34,343,10.1,22.9,1,69,5.0,5,1,0,0,0,0,0
Breshad Perriman,CLE,WR,10,16,340,21.3,34.0,2,25,13.6,4,2,0,0,0,0,0
Ryan Grant,IND,WR,14,35,334,9.5,23.9,1,52,6.4,3,0,0,0,0,0,0
Chris Conley,KC,WR,16,32,334,10.4,20.9,5,52,6.4,4,0,0,0,0,2,2
Dallas Goedert,PHI,TE,16,33,334,10.1,20.9,4,44,7.6,5,0,0,0,0,0,0
Ian Thomas,CAR,TE,16,36,333,9.3,20.8,2,49,6.8,4,0,0,0,0,0,0
Antonio Gates,LAC,TE,16,28,333,11.9,20.8,2,45,7.4,5,0,0,0,0,1,1
Equanimeous St. Brown,GB,WR,12,21,328,15.6,27.3,0,36,9.1,5,1,0,0,0,0,0
Kyle Juszczyk,SF,FB,16,30,324,10.8,20.3,1,41,7.9,4,1,0,0,0,2,2
Gerald Everett,LAR,TE,16,33,320,9.7,20.0,3,50,6.4,4,1,0,0,0,0,0
Tajae Sharpe,TEN,WR,16,26,316,12.2,19.8,2,47,6.7,2,0,1,0,0,0,0
Tim Patrick,DEN,WR,16,23,315,13.7,19.7,1,41,7.7,6,0,0,0,0,2,1
DeVante Parker,MIA,WR,11,24,309,12.9,28.1,1,47,6.6,3,1,1,0,0,0,0
Blake Jarwin,DAL,TE,16,27,307,11.4,19.2,3,36,8.5,3,0,1,0,0,0,0
Dalvin Cook,MIN,RB,11,40,305,7.6,27.7,2,49,6.2,5,0,0,0,0,2,2
Ryan Griffin,HOU,TE,14,24,305,12.7,21.8,0,43,7.1,3,1,0,0,0,0,0
Dontrelle Inman,IND,WR,9,28,304,10.9,33.8,3,39,7.8,4,0,0,0,0,0,0
Jacquizz Rodgers,TB,RB,16,38,304,8.0,19.0,0,45,6.8,1,0,1,0,0,1,1
Maurice Harris,WAS,WR,12,28,304,10.9,25.3,0,47,6.5,3,1,1,0,0,1,0
Geronimo Allison,GB,WR,5,20,303,15.2,60.6,2,30,10.1,4,1,0,0,0,1,0
Laquon Treadwell,MIN,WR,15,35,302,8.6,20.1,1,53,5.7,1,0,0,0,0,0,0
Jordan Matthews,PHI,WR,14,20,300,15.0,21.4,2,28,10.7,3,1,0,0,0,0,0
Joe Mixon,CIN,RB,14,43,296,6.9,21.1,1,55,5.4,2,0,0,0,0,0,0
Allen Hurns,DAL,WR,16,20,295,14.8,18.4,2,35,8.4,6,1,0,0,0,1,0
Tyler Higbee,LAR,TE,16,24,292,12.2,18.3,2,34,8.6,3,0,0,0,0,1,0
Greg Olsen,CAR,TE,9,27,291,10.8,32.3,4,38,7.7,2,0,0,0,0,0,0
Phillip Dorsett,NE,WR,16,32,290,9.1,18.1,3,42,6.9,1,0,0,0,0,0,0
Cameron Brate,TB,TE,16,30,289,9.6,18.1,6,49,5.9,2,0,0,0,0,1,1
Demarcus Robinson,KC,WR,16,22,288,13.1,18.0,4,33,8.7,3,1,0,0,0,0,0
Keke Coutee,HOU,WR,6,28,287,10.3,47.8,1,41,7.0,2,1,1,0,0,0,0
Pierre Garcon,SF,WR,8,24,286,11.9,35.8,1,46,6.2,5,0,0,0,0,0,0
Jeff Heuerman,DEN,TE,11,31,281,9.1,25.5,2,48,5.9,2,0,0,0,0,0,0
Tevin Coleman,ATL,RB,16,32,276,8.6,17.3,5,44,6.3,3,0,0,0,0,2,0
Devontae Booker,DEN,RB,16,38,275,7.2,17.2,0,51,5.4,2,0,0,0,0,1,1
Rhett Ellison,NYG,TE,14,25,272,10.9,19.4,1,34,8.0,2,0,0,0,0,0,0
Nick Vannett,SEA,TE,15,29,269,9.3,17.9,3,43,6.3,1,0,0,0,0,1,0
Jakeem Grant,MIA,WR,10,21,268,12.8,26.8,2,34,7.9,2,1,0,0,0,0,0
Zach Pascal,IND,WR,16,27,268,9.9,16.8,2,46,5.8,1,0,0,0,0,0,0
Chris Thompson,WAS,RB,10,41,268,6.5,26.8,1,55,4.9,1,0,0,0,0,1,0
Martavis Bryant,OAK,WR,8,19,266,14.0,33.3,0,27,9.9,6,1,0,0,0,1,1
Levine Toilolo,DET,TE,16,21,263,12.5,16.4,1,24,11.0,2,0,0,0,0,0,0
Paul Richardson,WAS,WR,7,20,262,13.1,37.4,2,35,7.5,5,1,0,0,0,0,0
Matt Breida,SF,RB,14,27,261,9.7,18.6,2,31,8.4,5,0,0,0,0,1,1
Jason Croom,BUF,TE,15,22,259,11.8,17.3,1,35,7.4,5,0,0,0,0,2,2
Jonnu Smith,TEN,TE,13,20,258,12.9,19.8,3,31,8.3,3,1,0,0,0,1,0
Ryan Switzer,PIT,WR,16,36,253,7.0,15.8,1,44,5.8,1,0,0,0,0,2,0
Terrelle Pryor,BUF/NYJ,WR,8,16,252,15.8,31.5,2,30,8.4,5,1,0,0,0,0,0
Matt LaCosse,DEN,TE,15,24,250,10.4,16.7,1,37,6.8,1,1,0,0,0,0,0
Cordarrelle Patterson,NE,WR,15,21,247,11.8,16.5,3,28,8.8,4,1,0,0,0,1,1
Jack Doyle,IND,TE,6,26,245,9.4,40.8,2,33,7.4,1,0,0,0,0,1,1
DaeSean Hamilton,DEN,WR,14,30,243,8.1,17.4,2,46,5.3,1,0,0,0,0,0,0
Geoff Swaim,DAL,TE,9,26,242,9.3,26.9,1,32,7.6,3,1,0,0,0,0,0
Phillip Lindsay,DEN,RB,15,35,241,6.9,16.1,1,47,5.1,1,0,0,0,0,0,0
LeSean McCoy,BUF,RB,14,34,238,7.0,17.0,0,46,5.2,2,0,0,0,0,0,0
Ty Montgomery,BAL/GB,RB,13,25,235,9.4,18.1,0,40,5.9,2,1,0,0,0,2,1
Aldrick Robinson,MIN,WR,14,17,231,13.6,16.5,5,35,6.6,2,1,0,0,0,0,0
Wendell Smallwood,PHI,RB,16,28,230,8.2,14.4,2,35,6.6,3,0,0,0,0,2,1
Anthony Firkser,TEN,TE,12,19,225,11.8,18.8,1,20,11.3,3,0,0,0,0,0,0
Jordan Akins,HOU,TE,16,17,225,13.2,14.1,0,25,9.0,3,0,0,0,0,0,0
Bruce Ellington,DET/HOU,WR,7,31,224,7.2,32.0,1,42,5.3,2,0,0,0,0,1,0
Spencer Ware,KC,RB,13,20,224,11.2,17.2,0,23,9.7,4,0,0,0,0,0,0
Giovani Bernard,CIN,RB,12,35,218,6.2,18.2,0,48,4.5,2,0,0,0,0,0,0
James Washington,PIT,WR,14,16,217,13.6,15.5,1,38,5.7,3,1,0,0,0,0,0
DeAndre Carter,HOU/PHI,WR,14,22,216,9.8,15.4,0,25,8.6,2,1,0,0,0,5,1
Jordan Thomas,HOU,TE,16,20,215,10.8,13.4,4,27,8.0,2,0,0,0,0,0,0
Trent Taylor,SF,WR,14,26,215,8.3,15.4,1,40,5.4,1,0,0,0,0,1,0
James O'Shaughnessy,JAX,TE,14,24,214,8.9,15.3,0,38,5.6,0,0,0,0,0,0,0
Mike Davis,SEA,RB,15,34,214,6.3,14.3,1,42,5.1,0,0,0,0,0,0,0
Nick Boyle,BAL,TE,16,23,213,9.3,13.3,0,37,5.8,1,0,0,0,0,0,0
Kerryon Johnson,DET,RB,10,32,213,6.7,21.3,1,39,5.5,1,0,0,0,0,1,1
John Ross,CIN,WR,13,21,210,10.0,16.2,7,58,3.6,3,0,0,0,0,0,0
Jamaal Williams,GB,RB,16,27,210,7.8,13.1,0,41,5.1,2,0,0,0,0,0,0
Trent Sherfield,ARI,WR,13,19,210,11.1,16.2,1,28,7.5,1,0,0,0,0,0,0
Virgil Green,LAC,TE,16,19,210,11.1,13.1,1,27,7.8,5,0,0,0,0,0,0
Ted Ginn,NO,WR,5,17,209,12.3,41.8,2,30,7.0,3,1,0,0,0,1,1
Keith Kirkwood,NO,WR,8,13,209,16.1,26.1,2,21,10.0,4,1,0,0,0,0,0
Adrian Peterson,WAS,RB,16,20,208,10.4,13.0,1,26,8.0,3,1,0,0,0,3,2
Aaron Jones,GB,RB,12,26,206,7.9,17.2,1,35,5.9,2,0,0,0,0,1,1
Chris Ivory,BUF,RB,13,13,205,15.8,15.8,0,21,9.8,4,2,0,0,0,1,0
Mike Gesicki,MIA,TE,16,22,202,9.2,12.6,0,32,6.3,1,0,0,0,0,1,1
Jaylen Samuels,PIT,RB,14,26,199,7.7,14.2,3,29,6.9,2,0,0,0,0,1,0
Bennie Fowler,NYG,WR,10,16,199,12.4,19.9,1,27,7.4,3,0,0,0,0,1,0
Javorius Allen,BAL,RB,14,35,196,5.6,14.0,2,43,4.6,0,0,0,0,0,1,1
Chris Moore,BAL,WR,16,19,196,10.3,12.3,1,25,7.8,3,0,0,0,0,0,0
Elijah McGuire,NYJ,RB,8,19,193,10.2,24.1,1,31,6.2,2,0,0,0,0,2,2
Corey Clement,PHI,RB,11,22,192,8.7,17.5,0,25,7.7,3,0,0,0,0,4,0
Cody Latimer,NYG,WR,6,11,190,17.3,31.7,1,16,11.9,4,0,0,0,0,0,0
TJ Jones,DET,WR,15,19,190,10.0,12.7,2,26,7.3,3,0,0,0,0,0,0
Torrey Smith,CAR,WR,11,17,190,11.2,17.3,2,31,6.1,2,0,0,0,0,0,0
Russell Shepard,NYG,WR,12,10,188,18.8,15.7,2,19,9.9,4,2,0,0,0,0,0
Travis Benjamin,LAC,WR,12,12,186,15.5,15.5,1,24,7.8,4,1,0,0,0,0,0
Josh Hill,NO,TE,16,16,185,11.6,11.6,1,24,7.7,4,0,0,0,0,0,0
Leonard Fournette,JAX,RB,8,22,185,8.4,23.1,1,26,7.1,3,0,0,0,0,0,0
Charles Clay,BUF,TE,13,21,184,8.8,14.2,0,36,5.1,2,0,0,0,0,1,1
Tyler Eifert,CIN,TE,4,15,179,11.9,44.8,1,19,9.4,2,0,0,0,0,0,0
Isaiah McKenzie,BUF,WR,7,18,179,9.9,25.6,0,30,6.0,1,0,0,0,0,2,1
DJ Chark,JAX,WR,11,14,174,12.4,15.8,0,32,5.4,2,0,0,0,0,1,1
Chad Williams,ARI,WR,10,17,171,10.1,17.1,1,46,3.7,1,0,0,0,0,0,0
Lance Kendricks,GB,TE,16,19,170,8.9,10.6,1,25,6.8,2,0,0,0,0,0,0
Mark Ingram,NO,RB,12,21,170,8.1,14.2,1,27,6.3,3,0,0,0,0,3,1
Alex Erickson,CIN,WR,16,20,167,8.4,10.4,0,29,5.8,1,0,0,0,0,1,1
Jaron Brown,SEA,WR,16,14,166,11.9,10.4,5,19,8.7,1,1,0,0,0,0,0
Luke Stocker,TEN,TE,16,15,165,11.0,10.3,2,21,7.9,2,0,0,0,0,0,0
Demetrius Harris,KC,TE,15,12,164,13.7,10.9,3,25,6.6,2,0,0,0,0,0,0
Lamar Miller,HOU,RB,14,25,163,6.5,11.6,1,35,4.7,0,0,0,0,0,1,1
Chris Carson,SEA,RB,14,20,163,8.2,11.6,0,24,6.8,1,0,0,0,0,3,2
Hayden Hurst,BAL,TE,12,13,163,12.5,13.6,1,23,7.1,3,0,0,0,0,0,0
Andre Holmes,BUF/DEN,WR,15,13,162,12.5,10.8,0,24,6.8,5,0,0,0,0,0,0
Deonte Thompson,BUF/DAL,WR,13,17,161,9.5,12.4,0,30,5.4,0,0,0,0,0,0,0
Darren Sproles,PHI,RB,6,15,160,10.7,26.7,2,23,7.0,3,0,0,0,0,0,0
