,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Fabian Moreau,WAS,CB,1,31,#2 RCB,0.0,0,4,0.0,0,0,1,0,1
Marlon Humphrey,BAL,CB,1,69,#1 LCB,0.0,1,5,20.0,6,0,1,1,0
Michael Ojemudia,DEN,CB,1,64,#1 LCB,0.0,2,7,28.6,16,0,1,1,0
CJ Henderson,JAX,CB,1,62,#1 LCB,22.2,5,12,41.7,58,0,1,2,0
J.C. Jackson,NE,CB,1,45,#2 LCB,22.9,2,4,50.0,18,0,1,1,0
Jimmy Moreland,WAS,CB,1,68,#2 LCB,27.5,2,5,40.0,38,0,1,0,0
Kyle Fuller,CHI,CB,1,78,#1 RCB,28.2,4,9,44.4,62,0,1,0,0
Stephon Gilmore,NE,CB,1,59,#3 RCB,38.0,5,9,55.6,63,0,1,0,0
Josh Bynes,CIN,LB,1,53,#1 SLB,39.6,0,3,0.0,0,0,0,0,0
Malcolm Jenkins,NO,S,1,70,#1 SS,39.6,0,4,0.0,0,0,0,1,0
Rodney McLeod,PHI,S,1,70,#1 FS,39.6,0,3,0.0,0,0,0,1,0
Patrick Peterson,ARI,CB,1,61,#1 LCB,39.6,0,3,0.0,0,0,0,1,0
Jonathan Jones,NE,CB,1,46,#1 RCB,39.6,1,4,25.0,8,0,0,0,0
Darryl Roberts,DET,CB,1,28,#2 LCB,39.6,0,3,0.0,0,0,0,1,0
Cory Littleton,LV,LB,1,67,#1 WLB,39.6,1,4,25.0,10,0,0,0,0
Tre Herndon,JAX,CB,1,73,#1 RCB,39.6,1,5,20.0,12,0,0,1,0
Marshon Lattimore,NO,CB,1,70,#1 RCB,39.6,0,3,0.0,0,0,0,1,0
Matt Milano,BUF,LB,1,21,#1 WLB,39.6,2,4,50.0,34,0,1,0,0
Justin Reid,HOU,S,1,69,#1 FS,39.6,1,4,25.0,2,0,0,1,0
Jordan Hicks,ARI,LB,1,62,#1 LILB,41.7,1,4,25.0,14,0,0,1,0
Johnathan Joseph,TEN,CB,1,44,#1 RCB,42.4,1,3,33.3,5,0,0,0,0
Jordan Lucas,FA,S,1,,#4 SS,42.4,1,3,33.3,9,0,0,0,0
Marcus Peters,BAL,CB,1,71,#1 RCB,42.4,2,6,33.3,15,0,0,2,0
Joejuan Williams,NE,S,1,27,#2 FS,42.4,1,3,33.3,9,0,0,1,0
Chris Jackson,TEN,S,1,35,#2 RCB,42.4,1,3,33.3,7,0,0,0,0
Jessie Bates,CIN,S,1,73,#1 FS,42.4,1,3,33.3,7,0,0,2,0
Troy Apke,WAS,S,1,68,#1 FS,42.9,1,5,20.0,19,0,0,0,0
B.J. Goodson,CLE,LB,1,49,#1 MLB,45.1,1,3,33.3,11,0,0,0,0
Byron Murphy,ARI,CB,1,60,#1 RCB,45.8,1,4,25.0,18,0,0,2,0
Micah Kiser,LAR,LB,1,72,#1 LILB,47.9,2,5,40.0,12,0,0,1,0
Bobby Wagner,SEA,LB,1,79,#1 MLB,47.9,2,5,40.0,14,0,0,2,0
Buster Skrine,CHI,CB,1,56,#2 RCB,50.9,3,7,42.9,22,0,0,1,0
Trayvon Mullen,LV,CB,1,63,#1 RCB,52.1,1,3,33.3,16,0,0,1,0
Devin White,TB,LB,1,68,#1 LILB,56.3,3,6,50.0,17,0,0,1,0
Roquan Smith,CHI,LB,1,76,#1 LILB,56.3,2,4,50.0,11,0,0,0,0
Blessuan Austin,NYJ,CB,1,86,#1 RCB,56.3,2,4,50.0,9,0,0,0,0
Eric Kendricks,MIN,LB,1,78,#1 MLB,56.3,2,4,50.0,8,0,0,0,0
Darius Phillips,CIN,CB,1,71,#2 RCB,58.0,2,7,28.6,52,0,0,1,0
Avonte Maddox,PHI,CB,1,61,#1 RCB,60.4,3,7,42.9,38,0,0,1,1
Casey Hayward,LAC,CB,1,68,#1 RCB,60.4,8,17,47.1,78,0,0,2,0
William Jackson,CIN,CB,1,73,#1 RCB,60.4,4,8,50.0,32,0,0,1,0
Taron Johnson,BUF,CB,1,48,#3 LCB,61.8,5,9,55.6,29,0,0,1,1
Darious Williams,LAR,CB,1,64,#2 LCB,62.5,3,6,50.0,27,0,0,0,0
Marcus Maye,NYJ,S,1,87,#1 SS,62.5,2,4,50.0,18,0,0,1,0
Landon Collins,WAS,S,1,68,#1 SS,63.5,2,4,50.0,19,0,0,0,0
Terrell Edmunds,PIT,S,1,68,#1 SS,65.3,3,6,50.0,31,0,0,0,0
Janoris Jenkins,NO,CB,1,64,#1 LCB,65.5,5,7,71.4,73,0,1,0,0
Desmond Trufant,DET,CB,1,48,#1 LCB,66.7,2,4,50.0,22,0,0,0,0
Vernon Hargreaves,HOU,CB,1,44,#1 RCB,66.7,2,4,50.0,22,0,0,0,1
Emmanuel Moseley,SF,CB,1,82,#1 RCB,72.0,8,14,57.1,75,0,0,0,0
Mike Hilton,PIT,CB,1,42,#2 LCB,72.9,2,3,66.7,11,0,0,0,0
Darius Slay,PHI,CB,1,64,#1 LCB,72.9,2,4,50.0,28,0,0,0,0
Devin Bush,PIT,LB,1,68,#1 RILB,72.9,3,5,60.0,25,0,0,0,0
Jaylon Johnson,CHI,CB,1,78,#1 LCB,74.0,4,8,50.0,58,0,0,3,0
Darian Thompson,DAL,S,1,58,#1 SS,75.7,2,3,66.7,13,0,0,0,0
Tre'Davious White,BUF,CB,1,44,#1 LCB,75.7,2,3,66.7,13,0,0,1,0
Darnay Holmes,NYG,CB,1,47,#2 LCB,76.0,2,4,50.0,31,0,0,0,0
Joe Haden,PIT,CB,1,68,#1 LCB,77.1,2,3,66.7,14,0,0,1,0
Josey Jewell,DEN,LB,1,79,#1 RILB,78.5,2,3,66.7,15,0,0,0,0
Myles Jack,JAX,LB,1,74,#1 WLB,79.2,3,4,75.0,14,0,0,0,0
Tyrann Mathieu,KC,S,1,59,#1 SS,79.9,2,3,66.7,16,0,0,0,0
Jaire Alexander,GB,CB,1,49,#1 LCB,81.3,3,6,50.0,54,1,1,0,0
Tre Boston,CAR,S,1,63,#1 FS,81.9,1,3,33.3,45,0,0,0,0
Jordan Whitehead,TB,S,1,62,#1 FS,82.1,2,5,40.0,56,0,0,0,0
De'Vondre Campbell,ARI,LB,1,62,#1 RILB,82.4,5,7,71.4,35,0,0,0,0
Terrence Brooks,NE,S,1,29,#2 SS,82.6,2,3,66.7,18,0,0,0,0
Jordan Fuller,LAR,S,1,71,#1 SS,86.3,3,5,60.0,41,0,0,0,0
Malcolm Butler,TEN,CB,1,56,#1 LCB,86.5,3,4,75.0,21,0,0,0,0
Terrance Mitchell,CLE,CB,1,59,#2 RCB,86.8,2,3,66.7,21,0,0,0,0
Dre Kirkpatrick,ARI,CB,1,20,#2 RCB,88.5,3,4,75.0,23,0,0,0,0
Deion Jones,ATL,LB,1,59,#1 MLB,88.9,3,3,100.0,16,0,0,0,0
A.J. Klein,BUF,LB,1,35,#1 SLB,89.6,3,4,75.0,24,0,0,0,0
Anthony Harris,MIN,S,1,78,#1 FS,91.7,1,4,25.0,24,1,0,0,0
Jalen Ramsey,LAR,CB,1,72,#1 RCB,91.7,7,10,70.0,75,0,0,1,0
Corey Ballentine,NYG,CB,1,59,#2 RCB,92.4,4,6,66.7,50,0,0,0,0
Anthony Brown,DAL,CB,1,73,#2 RCB,92.7,3,4,75.0,27,0,0,0,0
Harvey Langi,NYJ,LB,1,83,#2 LILB,93.8,3,4,75.0,28,0,0,1,0
Ronald Darby,WAS,CB,1,68,#1 RCB,93.8,3,6,50.0,72,0,0,1,1
Kevin Byard,TEN,S,1,59,#1 FS,95.1,2,3,66.7,27,0,0,1,0
Kevin King,GB,CB,1,51,#1 RCB,95.8,2,4,50.0,51,0,0,0,0
Carlton Davis,TB,CB,1,68,#1 LCB,95.8,3,6,50.0,14,1,0,0,0
Will Harris,DET,S,1,52,#2 FS,96.9,3,4,75.0,31,0,0,0,0
Bradley McDougald,NYJ,S,1,86,#1 FS,97.1,3,5,60.0,54,0,0,1,0
Demario Davis,NO,LB,1,70,#1 WLB,97.2,3,6,50.0,20,1,0,0,0
Josh Jones,JAX,S,1,72,#1 SS,97.2,3,3,100.0,22,0,0,0,0
Jabrill Peppers,NYG,S,1,63,#1 SS,97.9,2,3,66.7,29,0,0,1,0
Kenneth Murray,LAC,LB,1,62,#1 ROLB,98.6,3,3,100.0,23,0,0,0,0
John Reid,HOU,CB,1,32,#3 RCB,99.0,3,4,75.0,33,0,0,0,0
Quinton Dunbar,SEA,CB,1,68,#1 RCB,99.7,4,7,57.1,84,0,0,1,0
Shaq Thompson,CAR,LB,1,63,#1 WLB,100.7,2,3,66.7,31,0,0,0,0
Jimmie Ward,SF,S,1,82,#1 FS,103.1,4,4,100.0,35,0,0,0,0
Nate Hairston,NYJ,CB,1,51,#,103.3,4,5,80.0,44,0,0,0,0
Ceedy Duce,NO,S,1,61,#,106.3,4,4,100.0,38,0,0,0,0
C.J. Gardner-Johnson,NO,S,1,61,#2 SS,106.3,4,4,100.0,38,0,0,0,0
Brian Poole,NYJ,CB,1,86,#2 LCB,107.5,4,5,80.0,49,0,0,1,0
Bryce Callahan,DEN,CB,1,80,#1 RCB,108.3,4,5,80.0,50,0,0,0,0
Lano Hill,SEA,S,1,29,#2 SS,109.2,4,5,80.0,51,0,0,0,0
Kevin Pierre-Louis,WAS,LB,1,67,#1 SLB,109.4,3,4,75.0,43,2,1,0,0
Kenny Vaccaro,TEN,S,1,59,#1 SS,109.7,2,3,66.7,7,1,0,0,1
Tracy Walker,DET,S,1,54,#1 FS,109.7,2,3,66.7,9,1,0,0,0
Justin Simmons,DEN,S,1,81,#1 FS,109.7,2,3,66.7,43,0,0,0,1
Jon Bostic,WAS,LB,1,68,#1 MLB,111.1,3,3,100.0,32,0,0,0,0
Amani Oruwariye,DET,CB,1,65,#1 RCB,111.7,4,5,80.0,54,0,0,0,0
Pierre Desir,NYJ,CB,1,35,#1 LCB,113.3,3,5,60.0,26,1,0,0,0
Trevon Diggs,DAL,CB,1,73,#1 RCB,116.7,3,4,75.0,63,0,0,0,0
Antonio Hamilton,KC,CB,1,38,#1 LCB,118.8,3,3,100.0,45,0,0,0,0
Jamel Dean,TB,CB,1,35,#2 RCB,118.8,4,4,100.0,60,0,0,0,0
Danny Trevathan,CHI,LB,1,70,#1 RILB,118.8,3,3,100.0,69,0,0,0,0
Duron Harmon,DET,S,1,65,#1 SS,118.8,3,3,100.0,50,0,0,0,0
Troy Hill,LAR,CB,1,70,#1 LCB,118.8,5,5,100.0,77,0,0,0,0
Shaquill Griffin,SEA,CB,1,78,#1 LCB,133.3,8,10,80.0,80,1,0,1,0
Holton Hill,MIN,CB,1,59,#1 RCB,133.6,6,9,66.7,84,1,0,1,0
Xavier Rhodes,IND,CB,1,43,#1 RCB,138.5,3,4,75.0,33,1,0,0,0
Tashaun Gipson,CHI,S,1,78,#1 SS,140.6,4,4,100.0,33,1,0,0,0
Bradley Roby,HOU,CB,1,69,#1 LCB,141.0,3,3,100.0,25,1,0,0,0
Steven Nelson,PIT,CB,1,67,#1 RCB,142.4,4,6,66.7,65,2,0,1,0
Isaiah Oliver,ATL,CB,1,62,#1 RCB,143.8,6,8,75.0,76,1,0,0,0
Ben Niemann,KC,LB,1,36,#2 MLB,149.3,2,3,66.7,39,1,0,0,0
Tony McRae,DET,CB,1,16,#3 RCB,155.4,4,5,80.0,59,2,0,0,0
Mike Hughes,MIN,CB,1,58,#1 LCB,155.6,5,6,83.3,71,1,0,0,0
A.J. Terrell,ATL,CB,1,62,#1 LCB,158.3,4,4,100.0,80,1,0,0,0
James Bradberry,NYG,CB,1,64,#1 LCB,158.3,4,5,80.0,70,2,0,2,0