,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Dalvin Cook,MIN,RB,1,22,181,1,73.3,11,26.7,4,1,5,22.7,95.5,0.0,82,3.7,45.3
Derrick Henry,TEN,RB,1,26,119,2,92.3,12,7.7,1,3,3,11.5,88.5,0.1,77,3.0,64.7
Sony Michel,NE,RB,1,9,117,0,100.0,3,0.0,0,1,4,44.4,88.9,0.0,61,6.8,52.1
Darrell Henderson,LAR,RB,1,20,114,1,87.5,7,12.5,1,3,3,15.0,85.0,0.1,33,1.7,28.9
James Conner,PIT,RB,1,18,109,1,60.0,6,40.0,4,0,4,22.2,100.0,0.1,24,1.3,22.0
Nick Chubb,CLE,RB,1,19,108,2,8.3,1,91.7,11,3,6,31.6,84.2,0.1,64,3.4,59.3
Miles Sanders,PHI,RB,1,18,95,0,91.7,11,8.3,1,1,5,27.8,94.4,0.0,46,2.6,48.4
Lamar Jackson,BAL,QB,1,9,83,0,25.0,2,75.0,6,1,4,44.4,88.9,0.0,21,2.3,25.3
Todd Gurley,ATL,RB,1,14,80,1,71.4,5,28.6,2,1,2,14.3,92.9,0.1,33,2.4,41.3
Adrian Peterson,DET,RB,1,22,75,0,100.0,12,0.0,0,7,3,13.6,68.2,0.0,73,3.3,97.3
Kenyan Drake,ARI,RB,1,18,73,0,70.6,12,29.4,5,3,2,11.1,83.3,0.0,33,1.8,45.2
Devin Singletary,BUF,RB,1,13,71,0,77.8,7,22.2,2,2,5,38.5,84.6,0.0,23,1.8,32.4
Josh Jacobs,LV,RB,1,16,71,0,87.5,7,12.5,1,2,3,18.8,87.5,0.0,23,1.4,32.4
Aaron Jones,GB,RB,1,16,69,1,81.8,9,18.2,2,2,0,0.0,87.5,0.1,28,1.8,40.6
Myles Gaskin,MIA,RB,1,22,66,0,75.0,3,25.0,1,5,6,27.3,77.3,0.0,55,2.5,83.3
Carson Wentz,PHI,QB,1,9,65,1,37.5,3,62.5,5,0,0,0.0,100.0,0.1,14,1.6,21.5
Chris Carson,SEA,RB,1,14,64,0,40.0,2,60.0,3,3,2,14.3,78.6,0.0,37,2.6,57.8
Clyde Edwards-Helaire,KC,RB,1,20,64,0,71.4,5,28.6,2,3,5,25.0,85.0,0.0,22,1.1,34.4
Jonathan Taylor,IND,RB,1,13,59,1,66.7,6,33.3,3,0,3,23.1,100.0,0.1,25,1.9,42.4
Austin Ekeler,LAC,RB,1,12,59,1,71.4,5,28.6,2,2,7,58.3,83.3,0.1,47,3.9,79.7
Alvin Kamara,NO,RB,1,6,58,0,100.0,5,0.0,0,1,1,16.7,83.3,0.0,14,2.3,24.1
Latavius Murray,NO,RB,1,12,58,0,100.0,5,0.0,0,0,3,25.0,100.0,0.0,35,2.9,60.3
Brian Hill,ATL,RB,1,9,58,1,100.0,4,0.0,0,0,0,0.0,100.0,0.1,8,0.9,13.8
Frank Gore,NYJ,RB,1,15,57,0,80.0,4,20.0,1,2,6,40.0,86.7,0.0,44,2.9,77.2
Ronald Jones,TB,RB,1,13,53,0,100.0,9,0.0,0,2,2,15.4,84.6,0.0,41,3.2,77.4
Daniel Jones,NYG,QB,1,5,49,0,50.0,2,50.0,2,2,1,20.0,60.0,0.0,0,0.0,0.0
Joe Mixon,CIN,RB,1,17,49,0,30.0,3,70.0,7,4,1,5.9,76.5,0.0,33,1.9,67.3
Antonio Gibson,WAS,RB,1,9,49,1,100.0,6,0.0,0,0,2,22.2,100.0,0.1,27,3.0,55.1
Rex Burkhead,NE,RB,1,6,49,2,0.0,0,100.0,3,0,3,50.0,100.0,0.3,15,2.5,30.6
Kareem Hunt,CLE,RB,1,16,46,0,22.2,2,77.8,7,5,0,0.0,68.8,0.0,31,1.9,67.4
Mike Davis,CAR,RB,1,13,46,0,90.0,9,10.0,1,5,9,69.2,61.5,0.0,40,3.1,87.0
James Robinson,JAX,RB,1,11,46,2,50.0,2,50.0,2,0,0,0.0,100.0,0.2,17,1.5,37.0
David Montgomery,CHI,RB,1,14,45,0,50.0,1,50.0,1,5,1,7.1,64.3,0.0,20,1.4,44.4
Mitchell Trubisky,CHI,QB,1,1,45,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,5,5.0,11.1
J.J. Taylor,NE,RB,1,11,43,0,22.2,2,77.8,7,2,0,0.0,81.8,0.0,13,1.2,30.2
Joshua Kelley,LAC,RB,1,8,43,0,100.0,3,0.0,0,1,2,25.0,87.5,0.0,26,3.3,60.5
Anthony McFarland,PIT,RB,1,6,42,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Gus Edwards,BAL,RB,1,4,39,0,100.0,2,0.0,0,0,2,50.0,100.0,0.0,24,6.0,61.5
Jordan Wilkins,IND,RB,1,9,39,0,60.0,3,40.0,2,2,2,22.2,77.8,0.0,31,3.4,79.5
Jerick McKinnon,SF,RB,1,14,38,1,22.2,2,77.8,7,5,5,35.7,64.3,0.1,29,2.1,76.3
Ryan Fitzpatrick,MIA,QB,1,7,38,1,50.0,3,50.0,3,1,1,14.3,85.7,0.1,18,2.6,47.4
Ezekiel Elliott,DAL,RB,1,14,34,1,83.3,5,16.7,1,3,0,0.0,78.6,0.1,22,1.6,64.7
Devontae Booker,LV,RB,1,3,31,0,100.0,1,0.0,0,0,1,33.3,100.0,0.0,18,6.0,58.1
Brandon Aiyuk,SF,WR,1,3,31,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Mark Ingram,BAL,RB,1,7,30,0,50.0,3,50.0,3,0,1,14.3,100.0,0.0,10,1.4,33.3
Robert Woods,LAR,WR,1,3,30,0,0.0,0,100.0,3,0,4,133.3,100.0,0.0,16,5.3,53.3
Jakeem Grant,MIA,WR,1,1,29,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Kyler Murray,ARI,QB,1,5,29,1,25.0,1,75.0,3,0,2,40.0,100.0,0.2,22,4.4,75.9
Alexander Mattison,MIN,RB,1,8,27,0,100.0,4,0.0,0,2,1,12.5,75.0,0.0,18,2.3,66.7
Cam Newton,NE,QB,1,9,27,0,85.7,6,14.3,1,4,1,11.1,55.6,0.0,9,1.0,33.3
Dak Prescott,DAL,QB,1,6,26,0,40.0,2,60.0,3,1,0,0.0,83.3,0.0,24,4.0,92.3
Melvin Gordon,DEN,RB,1,8,26,0,0.0,0,100.0,1,2,1,12.5,75.0,0.0,33,4.1,126.9
Patrick Mahomes,KC,QB,1,4,26,1,0.0,0,100.0,4,0,0,0.0,100.0,0.3,16,4.0,61.5
Tyreek Hill,KC,WR,1,2,25,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,3,1.5,12.0
La'Mical Perine,NYJ,RB,1,7,24,0,50.0,1,50.0,1,1,1,14.3,85.7,0.0,11,1.6,45.8
David Johnson,HOU,RB,1,13,23,1,100.0,11,0.0,0,3,1,7.7,76.9,0.1,7,0.5,30.4
Russell Wilson,SEA,QB,1,6,22,0,50.0,3,50.0,3,2,2,33.3,66.7,0.0,3,0.5,13.6
Antonio Gandy-Golden,WAS,WR,1,1,22,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Gardner Minshew,JAX,QB,1,3,22,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Nyheim Hines,IND,RB,1,7,21,0,25.0,1,75.0,3,2,0,0.0,71.4,0.0,10,1.4,47.6
Tarik Cohen,CHI,RB,1,2,21,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,7,3.5,33.3
Sam Darnold,NYJ,QB,1,5,20,0,20.0,1,80.0,4,0,1,20.0,100.0,0.0,6,1.2,30.0
Travis Homer,SEA,RB,1,2,19,0,100.0,2,0.0,0,0,1,50.0,100.0,0.0,8,4.0,42.1
Malcolm Brown,LAR,RB,1,7,19,0,50.0,1,50.0,1,2,1,14.3,71.4,0.0,7,1.0,36.8
T.J. Yeldon,BUF,RB,1,3,18,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Kerryon Johnson,DET,RB,1,3,16,0,100.0,3,0.0,0,0,0,0.0,100.0,0.0,14,4.7,87.5
Reggie Bonnafon,CAR,RB,1,2,16,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jeff Wilson,SF,RB,1,12,15,1,60.0,3,40.0,2,4,1,8.3,66.7,0.1,32,2.7,213.3
Leonard Fournette,TB,RB,1,7,15,0,100.0,2,0.0,0,2,-1,-14.3,71.4,0.0,6,0.9,40.0
Justin Herbert,LAC,QB,1,3,15,0,50.0,1,50.0,1,1,0,0.0,66.7,0.0,0,0.0,0.0
J.D. McKissic,WAS,RB,1,5,15,0,66.7,2,33.3,1,1,2,40.0,80.0,0.0,15,3.0,100.0
Jalen Richard,LV,RB,1,1,14,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,10,10.0,71.4
Jamaal Williams,GB,RB,1,6,14,0,33.3,1,66.7,2,2,1,16.7,66.7,0.0,13,2.2,92.9
Jeff Driskel,DEN,QB,1,3,14,0,33.3,1,66.7,2,0,1,33.3,100.0,0.0,24,8.0,171.4
Kirk Cousins,MIN,QB,1,2,14,0,100.0,2,0.0,0,1,0,0.0,50.0,0.0,2,1.0,14.3
Cordarrelle Patterson,CHI,WR,1,4,13,0,100.0,2,0.0,0,1,0,0.0,75.0,0.0,0,0.0,0.0
Isaiah Zuber,NE,WR,1,1,13,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Chase Edmonds,ARI,RB,1,3,13,0,100.0,2,0.0,0,0,-1,-33.3,100.0,0.0,4,1.3,30.8
Teddy Bridgewater,CAR,QB,1,2,12,0,0.0,0,100.0,1,0,1,50.0,100.0,0.0,2,1.0,16.7
Carlos Hyde,SEA,RB,1,4,12,0,50.0,1,50.0,1,0,0,0.0,100.0,0.0,6,1.5,50.0
Aaron Rodgers,GB,QB,1,2,12,0,100.0,1,0.0,0,1,0,0.0,50.0,0.0,0,0.0,0.0
Benny Snell,PIT,RB,1,7,11,0,83.3,5,16.7,1,2,1,14.3,71.4,0.0,9,1.3,81.8
Darwin Thompson,KC,RB,1,2,11,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Derek Carr,LV,QB,1,2,10,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Devonta Freeman,NYG,RB,1,5,10,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Ryan Tannehill,TEN,QB,1,4,9,0,75.0,3,25.0,1,3,0,0.0,25.0,0.0,4,1.0,44.4
Anthony Miller,CHI,WR,1,1,9,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Darrynton Evans,TEN,RB,1,3,9,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
JaMycal Hasty,SF,RB,1,2,9,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Diontae Johnson,PIT,WR,1,1,9,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jalen Hurts,PHI,QB,1,2,8,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Josh Allen,BUF,QB,1,4,8,1,25.0,1,75.0,3,1,1,25.0,75.0,0.3,4,1.0,50.0
Kalen Ballage,NYJ,RB,1,2,8,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,4,2.0,50.0
Corey Clement,PHI,RB,1,3,8,0,100.0,2,0.0,0,0,0,0.0,100.0,0.0,2,0.7,25.0
Wayne Gallman,NYG,RB,1,4,7,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Calvin Ridley,ATL,WR,1,1,7,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Curtis Samuel,CAR,WR,1,4,7,0,50.0,2,50.0,2,2,-1,-25.0,50.0,0.0,6,1.5,85.7
Darrel Williams,KC,RB,1,2,6,0,100.0,1,0.0,0,1,0,0.0,50.0,0.0,0,0.0,0.0
Isaiah Wright,WAS,WR,1,1,6,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
J.K. Dobbins,BAL,RB,1,1,6,0,0.0,0,0.0,0,0,1,100.0,100.0,0.0,5,5.0,83.3
Peyton Barber,WAS,RB,1,3,6,0,100.0,3,0.0,0,0,0,0.0,100.0,0.0,5,1.7,83.3
Taysom Hill,NO,QB,1,2,6,0,100.0,1,0.0,0,1,0,0.0,50.0,0.0,3,1.5,50.0
Tyler Ervin,GB,RB,1,1,5,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,3,3.0,60.0
Boston Scott,PHI,RB,1,3,5,0,0.0,0,0.0,0,1,2,66.7,66.7,0.0,7,2.3,140.0
Deshaun Watson,HOU,QB,1,1,5,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Royce Freeman,DEN,RB,1,2,4,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,6,3.0,150.0
Isaiah McKenzie,BUF,WR,1,1,4,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Matt Breida,MIA,RB,1,3,4,0,0.0,0,0.0,0,1,0,0.0,66.7,0.0,2,0.7,50.0
Adam Thielen,MIN,WR,1,1,4,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jared Goff,LAR,QB,1,2,4,1,50.0,1,50.0,1,0,0,0.0,100.0,0.5,0,0.0,0.0
JoJo Natson,CLE,WR,1,1,3,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Chris Thompson,JAX,RB,1,2,3,0,0.0,0,100.0,2,1,1,50.0,50.0,0.0,7,3.5,233.3
Terry McLaurin,WAS,WR,1,1,3,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Dwayne Haskins,WAS,QB,1,2,2,0,50.0,1,50.0,1,1,0,0.0,50.0,0.0,0,0.0,0.0
N'Keal Harry,NE,WR,1,1,2,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jamal Agnew,DET,WR,1,1,2,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Baker Mayfield,CLE,QB,1,1,1,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Jordan Howard,MIA,RB,1,3,1,1,0.0,0,0.0,0,1,0,0.0,66.7,0.3,3,1.0,300.0
C.J. Prosise,HOU,RB,1,1,1,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Laviska Shenault,JAX,WR,1,1,1,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,100.0
CeeDee Lamb,DAL,WR,1,1,1,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Jaylen Samuels,PIT,RB,1,1,1,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Jacoby Brissett,IND,QB,1,2,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Nick Mullens,SF,QB,1,4,0,0,100.0,4,0.0,0,3,0,0.0,25.0,0.0,1,0.3,0.0
Adam Humphries,TEN,WR,1,1,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Anthony Sherman,KC,FB,1,1,0,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Dion Lewis,NYG,RB,1,1,0,0,0.0,0,100.0,1,1,1,100.0,0.0,0.0,3,3.0,0.0
Tom Brady,TB,QB,1,5,0,0,100.0,4,0.0,0,4,0,0.0,20.0,0.0,3,0.6,0.0
Julian Edelman,NE,WR,1,1,-1,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Matt Ryan,ATL,QB,1,1,-1,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Joe Burrow,CIN,QB,1,1,-1,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Allen Lazard,GB,WR,1,1,-2,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
KJ Hamler,DEN,WR,1,1,-2,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,2,2.0,-100.0
Ben Roethlisberger,PIT,QB,1,5,-3,0,80.0,4,20.0,1,4,0,0.0,20.0,0.0,1,0.2,-33.3
Matthew Stafford,DET,QB,1,1,-3,0,0.0,0,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Nick Foles,CHI,QB,1,3,-3,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Kalif Raymond,TEN,WR,1,1,-3,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Greg Ward,PHI,WR,1,1,-6,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Andy Isabella,ARI,WR,1,1,-6,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0