,,,,Week 5 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
205,Cedrick Wilson,DAL,WR,NYG,DAL,-8.5,54.0,4.39,0.00,0.00,0.00,0.00,0.00,0.00,3.05,35.52,0.14
206,Chris Hogan,NYJ,WR,ARI,ARI,7.5,47.0,4.39,0.00,0.00,0.00,0.00,0.00,0.00,3.94,40.34,0.06
207,Jordan Wilkins,IND,RB,CLE,IND,-1.0,47.5,4.37,0.00,0.00,0.00,5.80,26.66,0.18,0.76,5.63,0.01
208,Tony Pollard,DAL,RB,NYG,DAL,-8.5,54.0,4.20,0.00,0.00,0.00,3.40,18.50,0.14,1.69,12.08,0.05
209,Giovani Bernard,CIN,RB,BAL,BAL,12.5,50.5,4.19,0.00,0.00,0.00,3.00,11.64,0.06,2.67,21.86,0.08
210,Ian Thomas,CAR,TE,ATL,ATL,1,53.5,4.16,0.00,0.00,0.00,0.00,0.00,0.00,3.13,30.78,0.18
211,Mecole Hardman,KC,WR,LV,KC,-11.0,55.5,4.08,0.00,0.00,0.00,0.19,1.41,0.00,1.69,27.98,0.19
212,Nelson Agholor,LV,WR,KC,KC,11,55.5,4.04,0.00,0.00,0.00,0.23,0.90,0.00,2.66,26.29,0.22
213,Carlos Hyde,SEA,RB,MIN,SEA,-7.0,57.0,4.04,0.00,0.00,0.00,5.30,24.57,0.17,0.64,4.98,0.01
214,Chris Conley,JAX,WR,HOU,HOU,5.5,54.5,4.02,0.00,0.00,0.00,0.00,0.00,0.00,1.80,28.77,0.19
215,Dion Lewis,NYG,RB,DAL,DAL,8.5,54.0,4.02,0.00,0.00,0.00,3.90,15.10,0.05,2.38,16.71,0.09
216,Kenny Stills,HOU,WR,JAX,HOU,-5.5,54.5,3.98,0.00,0.00,0.00,0.00,0.00,0.00,1.82,30.24,0.16
217,Andy Isabella,ARI,WR,NYJ,ARI,-7.5,47.0,3.98,0.00,0.00,0.00,0.37,2.14,0.00,1.51,22.05,0.26
219,Gabriel Davis,BUF,WR,TEN,-,-,,3.96,0.00,0.00,0.00,0.00,0.00,0.00,2.02,30.57,0.15
220,Jack Doyle,IND,TE,CLE,IND,-1.0,47.5,3.92,0.00,0.00,0.00,0.00,0.00,0.00,2.55,25.42,0.23
222,Dawson Knox,BUF,TE,TEN,-,-,,3.85,0.00,0.00,0.00,0.00,0.00,0.00,2.55,25.30,0.22
223,Dan Arnold,ARI,TE,NYJ,ARI,-7.5,47.0,3.80,0.00,0.00,0.00,0.00,0.00,0.00,2.17,27.77,0.17
224,Jordan Howard,MIA,RB,SF,SF,9,50.5,3.75,0.00,0.00,0.00,4.50,16.20,0.32,0.17,1.53,0.01
225,Willie Snead,BAL,WR,CIN,BAL,-12.5,50.5,3.73,0.00,0.00,0.00,0.00,0.00,0.00,2.25,24.13,0.22
226,Jeff Wilson,SF,RB,MIA,SF,-9.0,50.5,3.67,0.00,0.00,0.00,4.20,17.92,0.14,0.69,6.15,0.07
227,John Hightower,PHI,WR,PIT,PIT,7,44.0,3.67,0.00,0.00,0.00,0.26,1.56,0.00,2.01,31.57,0.06
228,Jeff Smith,NYJ,WR,ARI,ARI,7.5,47.0,3.58,0.00,0.00,0.00,0.00,0.00,0.00,2.89,29.77,0.10
229,Jalen Richard,LV,RB,KC,KC,11,55.5,3.55,0.00,0.00,0.00,2.00,8.23,0.05,2.49,20.69,0.06
230,Ross Dwelley,SF,TE,MIA,SF,-9.0,50.5,3.47,0.00,0.00,0.00,0.00,0.00,0.00,2.52,23.90,0.18
231,Trey Burton,IND,TE,CLE,IND,-1.0,47.5,3.37,0.00,0.00,0.00,0.00,0.00,0.00,2.14,22.94,0.18
232,David Njoku,CLE,TE,IND,IND,1,47.5,3.34,0.00,0.00,0.00,0.00,0.00,0.00,2.12,22.60,0.18
233,Cameron Brate,TB,TE,CHI,TB,-3.5,44.0,3.29,0.00,0.00,0.00,0.00,0.00,0.00,2.40,22.69,0.17
235,Darrynton Evans,TEN,RB,BUF,-,-,,3.28,0.00,0.00,0.00,2.20,10.06,0.05,2.10,17.32,0.04
236,Jakeem Grant,MIA,WR,SF,SF,9,50.5,3.28,0.00,0.00,0.00,0.34,1.51,0.00,1.73,25.28,0.10
237,Frank Gore,NYJ,RB,ARI,ARI,7.5,47.0,3.28,0.00,0.00,0.00,6.50,21.96,0.09,0.68,4.85,0.01
238,Tyler Johnson,TB,WR,CHI,TB,-3.5,44.0,3.25,0.00,0.00,0.00,0.00,0.00,0.00,2.28,24.66,0.13
239,Matt Breida,MIA,RB,SF,SF,9,50.5,3.25,0.00,0.00,0.00,4.30,18.47,0.12,0.56,6.20,0.01
240,Mo Alie-Cox,IND,TE,CLE,IND,-1.0,47.5,3.22,0.00,0.00,0.00,0.00,0.00,0.00,2.13,19.56,0.21
241,Will Dissly,SEA,TE,MIN,SEA,-7.0,57.0,3.21,0.00,0.00,0.00,0.00,0.00,0.00,1.60,19.45,0.21
242,Boston Scott,PHI,RB,PIT,PIT,7,44.0,3.19,0.00,0.00,0.00,4.10,15.52,0.08,1.21,9.77,0.03
243,Taysom Hill,NO,QB,LAC,NO,-8.0,50.5,3.13,2.97,0.16,0.00,1.30,7.08,0.09,0.50,4.98,0.10
244,Noah Brown,DAL,WR,NYG,DAL,-8.5,54.0,3.13,0.00,0.00,0.00,0.00,0.00,0.00,2.14,25.92,0.09
245,Demarcus Robinson,KC,WR,LV,KC,-11.0,55.5,3.09,0.00,0.00,0.00,0.00,0.00,0.00,1.71,23.08,0.13
246,Dontrell Hilliard,CLE,RB,IND,IND,1,47.5,3.09,0.00,0.00,0.00,3.20,10.35,0.01,1.76,17.53,0.04
247,Ryan Nall,CHI,RB,TB,TB,3.5,44.0,3.07,0.00,0.00,0.00,2.80,11.51,0.13,1.16,10.18,0.02
248,Benny Snell,PIT,RB,PHI,PIT,-7.0,44.0,2.99,0.00,0.00,0.00,4.70,20.81,0.07,0.60,4.32,0.01
249,Anthony McFarland,PIT,RB,PHI,PIT,-7.0,44.0,2.95,0.00,0.00,0.00,3.80,16.66,0.14,0.55,3.86,0.01
250,Kyle Rudolph,MIN,TE,SEA,SEA,7,57.0,2.93,0.00,0.00,0.00,0.00,0.00,0.00,2.05,19.12,0.17
251,Kaden Smith,NYG,TE,DAL,DAL,8.5,54.0,2.90,0.00,0.00,0.00,0.00,0.00,0.00,1.94,20.56,0.14
253,DaeSean Hamilton,DEN,WR,NE,NE,11,,2.88,0.00,0.00,0.00,0.00,0.00,0.00,1.95,23.43,0.09
254,Nick Boyle,BAL,TE,CIN,BAL,-12.5,50.5,2.88,0.00,0.00,0.00,0.00,0.00,0.00,2.11,23.37,0.09
255,Damion Ratley,NYG,WR,DAL,DAL,8.5,54.0,2.86,0.00,0.00,0.00,0.00,0.00,0.00,1.13,17.80,0.18
256,Travis Homer,SEA,RB,MIN,SEA,-7.0,57.0,2.82,0.00,0.00,0.00,2.70,13.86,0.03,2.23,11.29,0.02
257,Jalen Guyton,LAC,WR,NO,NO,8,50.5,2.75,0.00,0.00,0.00,0.00,0.00,0.00,1.67,20.86,0.11
259,Nick Westbrook-Ikhine,TEN,WR,BUF,-,-,,2.74,0.00,0.00,0.00,0.00,0.00,0.00,1.68,17.80,0.16
260,Vance McDonald,PIT,TE,PHI,PIT,-7.0,44.0,2.74,0.00,0.00,0.00,0.00,0.00,0.00,1.87,19.61,0.13
261,Cordarrelle Patterson,CHI,WR,TB,TB,3.5,44.0,2.72,0.00,0.00,0.00,2.73,11.22,0.08,0.65,6.42,0.08
262,Peyton Barber,WAS,RB,LAR,LAR,7.5,46.5,2.72,0.00,0.00,0.00,3.70,12.77,0.19,0.34,2.40,0.01
264,Jake Butt,DEN,TE,NE,NE,11,,2.70,0.00,0.00,0.00,0.00,0.00,0.00,1.93,19.21,0.13
266,Anthony Firkser,TEN,TE,BUF,-,-,,2.64,0.00,0.00,0.00,0.00,0.00,0.00,1.48,18.00,0.14
267,Richard Rodgers,PHI,TE,PIT,PIT,7,44.0,2.63,0.00,0.00,0.00,0.00,0.00,0.00,2.45,21.51,0.08
268,Jordan Akins,HOU,TE,JAX,HOU,-5.5,54.5,2.62,0.00,0.00,0.00,0.00,0.00,0.00,1.78,17.84,0.14
269,Ito Smith,ATL,RB,CAR,ATL,-1.0,53.5,2.60,0.00,0.00,0.00,1.80,8.24,0.09,1.13,9.37,0.05
270,Van Jefferson,LAR,WR,WAS,LAR,-7.5,46.5,2.57,0.00,0.00,0.00,0.00,0.00,0.00,1.52,19.66,0.10
271,Irv Smith,MIN,TE,SEA,SEA,7,57.0,2.52,0.00,0.00,0.00,0.00,0.00,0.00,1.83,18.04,0.12
272,J.J. Arcega-Whiteside,PHI,WR,PIT,PIT,7,44.0,2.47,0.00,0.00,0.00,0.00,0.00,0.00,1.40,18.69,0.10
273,James O'Shaughnessy,JAX,TE,HOU,HOU,5.5,54.5,2.46,0.00,0.00,0.00,0.00,0.00,0.00,1.68,18.04,0.11
274,Gerald Everett,LAR,TE,WAS,LAR,-7.5,46.5,2.44,0.00,0.00,0.00,0.00,0.00,0.00,1.74,16.60,0.13
275,Chad Beebe,MIN,WR,SEA,SEA,7,57.0,2.41,0.00,0.00,0.00,0.00,0.00,0.00,2.36,19.86,0.07
276,Dare Ogunbowale,JAX,RB,HOU,HOU,5.5,54.5,2.40,0.00,0.00,0.00,3.80,13.71,0.01,1.23,9.10,0.01
277,Travis Fulgham,PHI,WR,PIT,PIT,7,44.0,2.35,0.00,0.00,0.00,0.00,0.00,0.00,1.87,19.90,0.06
278,Devontae Booker,LV,RB,KC,KC,11,55.5,2.32,0.00,0.00,0.00,3.70,15.73,0.07,0.30,2.66,0.01
279,Wayne Gallman,NYG,RB,DAL,DAL,8.5,54.0,2.32,0.00,0.00,0.00,3.80,14.20,0.07,0.57,4.16,0.01
280,Blake Bell,DAL,TE,NYG,DAL,-8.5,54.0,2.26,0.00,0.00,0.00,0.00,0.00,0.00,1.60,17.75,0.08
281,Auden Tate,CIN,WR,BAL,BAL,12.5,50.5,2.22,0.00,0.00,0.00,0.00,0.00,0.00,1.11,16.82,0.09
282,Cyril Grayson,TB,WR,CHI,TB,-3.5,44.0,2.06,0.00,0.00,0.00,0.00,0.00,0.00,1.48,17.02,0.06
283,Braxton Berrios,NYJ,WR,ARI,ARI,7.5,47.0,1.91,0.00,0.00,0.00,0.00,0.00,0.00,1.68,14.87,0.07
284,Mike Thomas,CIN,WR,BAL,BAL,12.5,50.5,1.89,0.00,0.00,0.00,0.00,0.00,0.00,1.49,15.34,0.06
286,Isaiah McKenzie,BUF,WR,TEN,-,-,,1.88,0.00,0.00,0.00,0.31,1.80,0.00,1.18,14.04,0.05
288,Ryan Izzo,NE,TE,DEN,NE,-11.0,,1.84,0.00,0.00,0.00,0.00,0.00,0.00,1.11,11.20,0.12
289,Ryan Griffin,NYJ,TE,ARI,ARI,7.5,47.0,1.80,0.00,0.00,0.00,0.00,0.00,0.00,1.13,11.38,0.11
290,Quez Watkins,PHI,WR,PIT,PIT,7,44.0,1.70,0.00,0.00,0.00,0.00,0.00,0.00,1.40,17.01,0.00
291,La'Mical Perine,NYJ,RB,ARI,ARI,7.5,47.0,1.70,0.00,0.00,0.00,1.40,5.62,0.06,0.59,5.94,0.03
292,Freddie Swain,SEA,WR,MIN,SEA,-7.0,57.0,1.69,0.00,0.00,0.00,0.00,0.00,0.00,1.00,13.27,0.06
293,C.J. Board,NYG,WR,DAL,DAL,8.5,54.0,1.68,0.00,0.00,0.00,0.00,0.00,0.00,1.32,13.15,0.06
295,Dalton Keene,NE,TE,DEN,NE,-11.0,,1.66,0.00,0.00,0.00,0.00,0.00,0.00,1.25,11.78,0.08
296,Foster Moreau,LV,TE,KC,KC,11,55.5,1.64,0.00,0.00,0.00,0.00,0.00,0.00,1.05,11.04,0.09
297,Daurice Fountain,IND,WR,CLE,IND,-1.0,47.5,1.61,0.00,0.00,0.00,0.00,0.00,0.00,1.13,12.51,0.06
298,Harrison Bryant,CLE,TE,IND,IND,1,47.5,1.61,0.00,0.00,0.00,0.00,0.00,0.00,1.09,11.93,0.07
299,Artavis Pierce,CHI,RB,TB,TB,3.5,44.0,1.60,0.00,0.00,0.00,3.10,12.45,0.01,0.26,2.37,0.01
300,Trenton Cannon,CAR,RB,ATL,ATL,1,53.5,1.60,0.00,0.00,0.00,3.40,12.33,0.03,0.27,1.24,0.01
301,Devin Duvernay,BAL,WR,CIN,BAL,-12.5,50.5,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.88,10.64,0.08
302,Zay Jones,LV,WR,KC,KC,11,55.5,1.53,0.00,0.00,0.00,0.00,0.00,0.00,1.18,12.86,0.04
303,Adam Trautman,NO,TE,LAC,NO,-8.0,50.5,1.53,0.00,0.00,0.00,0.00,0.00,0.00,1.22,12.33,0.05
304,Seth Roberts,CAR,WR,ATL,ATL,1,53.5,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.94,11.94,0.05
305,Rashard Higgins,CLE,WR,IND,IND,1,47.5,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.88,11.48,0.05
306,Josh Hill,NO,TE,LAC,NO,-8.0,50.5,1.44,0.00,0.00,0.00,0.00,0.00,0.00,1.03,9.63,0.08
308,Nick Vannett,DEN,TE,NE,NE,11,,1.37,0.00,0.00,0.00,0.00,0.00,0.00,1.32,13.71,0.00
309,Jason Witten,LV,TE,KC,KC,11,55.5,1.36,0.00,0.00,0.00,0.00,0.00,0.00,1.07,10.02,0.06
310,Tyron Johnson,LAC,WR,NO,NO,8,50.5,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.31,8.02,0.08
312,Jeremy McNichols,TEN,RB,BUF,-,-,,1.25,0.00,0.00,0.00,0.60,2.46,0.01,1.12,8.87,0.01
314,Royce Freeman,DEN,RB,NE,NE,11,,1.20,0.00,0.00,0.00,1.80,6.34,0.05,0.24,2.02,0.01
315,Ted Ginn,CHI,WR,TB,TB,3.5,44.0,1.19,0.00,0.00,0.00,0.05,0.27,0.00,0.61,9.78,0.03
316,Jaydon Mickens,TB,WR,CHI,TB,-3.5,44.0,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.98,11.61,0.00
317,Jaylen Samuels,PIT,RB,PHI,PIT,-7.0,44.0,1.15,0.00,0.00,0.00,0.50,1.99,0.03,0.78,5.88,0.03
318,Antonio Gandy-Golden,WAS,WR,LAR,LAR,7.5,46.5,1.13,0.00,0.00,0.00,0.11,1.09,0.00,0.58,7.81,0.04
320,Tyler Kroft,BUF,TE,TEN,-,-,,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.73,7.56,0.05
321,Darrell Daniels,ARI,TE,NYJ,ARI,-7.5,47.0,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.74,6.99,0.06
322,KJ Hill,LAC,WR,NO,NO,8,50.5,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.70,8.37,0.03
323,C.J. Prosise,HOU,RB,JAX,HOU,-5.5,54.5,1.01,0.00,0.00,0.00,0.80,3.70,0.05,0.25,2.21,0.02
324,Trent Taylor,SF,WR,MIA,SF,-9.0,50.5,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,8.16,0.03
325,Corey Clement,PHI,RB,PIT,PIT,7,44.0,0.99,0.00,0.00,0.00,1.70,6.42,0.02,0.41,1.64,0.01
326,Cethan Carter,CIN,TE,BAL,BAL,12.5,50.5,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.83,7.39,0.04
327,Cole Kmet,CHI,TE,TB,TB,3.5,44.0,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.74,7.32,0.04
328,KeeSean Johnson,ARI,WR,NYJ,ARI,-7.5,47.0,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.73,8.54,0.02
329,Jason Moore,LAC,WR,NO,NO,8,50.5,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.77,9.15,0.00
330,Breshad Perriman,NYJ,WR,ARI,ARI,7.5,47.0,0.91,0.00,0.00,0.00,0.04,0.22,0.00,0.40,6.46,0.04
331,Leonard Fournette,TB,RB,CHI,TB,-3.5,44.0,0.91,0.00,0.00,0.00,1.10,4.85,0.04,0.13,1.29,0.01
332,JaMycal Hasty,SF,RB,MIA,SF,-9.0,50.5,0.89,0.00,0.00,0.00,1.00,4.44,0.04,0.15,1.48,0.01
334,Cam Newton,NE,QB,DEN,NE,-11.0,,0.88,10.23,0.06,0.03,0.20,0.99,0.01,0.00,0.00,0.00
335,Tanner Hudson,TB,TE,CHI,TB,-3.5,44.0,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.75,6.85,0.03
336,Jacob Hollister,SEA,TE,MIN,SEA,-7.0,57.0,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.76,7.37,0.02
337,Christian Blake,ATL,WR,CAR,ATL,-1.0,53.5,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.90,8.48,0.00
339,Diontae Spencer,DEN,WR,NE,NE,11,,0.84,0.00,0.00,0.00,0.24,1.08,0.00,0.72,7.32,0.00
340,Donovan Peoples-Jones,CLE,WR,IND,IND,1,47.5,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.75,8.28,0.00
341,Bisi Johnson,MIN,WR,SEA,SEA,7,57.0,0.81,0.00,0.00,0.00,0.02,0.12,0.00,0.65,6.82,0.02
343,T.J. Yeldon,BUF,RB,TEN,-,-,,0.81,0.00,0.00,0.00,0.80,3.20,0.01,0.46,3.65,0.01
344,Patrick Laird,MIA,RB,SF,SF,9,50.5,0.80,0.00,0.00,0.00,0.30,1.22,0.03,0.50,4.41,0.01
345,Brandon Powell,ATL,WR,CAR,ATL,-1.0,53.5,0.78,0.00,0.00,0.00,0.08,0.78,0.00,0.67,5.77,0.02
346,Demetrius Harris,CHI,TE,TB,TB,3.5,44.0,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.59,5.88,0.03
347,Richie James,SF,WR,MIA,SF,-9.0,50.5,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.55,7.67,0.00
348,Jordan Thomas,ARI,TE,NYJ,ARI,-7.5,47.0,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.55,5.77,0.03
350,Devin Asiasi,NE,TE,DEN,NE,-11.0,,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.52,5.51,0.03
353,Drew Lock,DEN,QB,NE,NE,11,,0.69,6.91,0.04,0.03,0.40,1.55,0.01,0.00,0.00,0.00
352,Javon Wims,CHI,WR,TB,TB,3.5,44.0,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.52,5.73,0.02
354,Lynn Bowden,MIA,WR,SF,SF,9,50.5,0.66,0.38,0.00,0.00,0.36,1.57,0.01,0.35,3.60,0.01
355,Jeremy Sprinkle,WAS,TE,LAR,LAR,7.5,46.5,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.44,4.73,0.03
356,Jaeden Graham,ATL,TE,CAR,ATL,-1.0,53.5,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.30,4.45,0.03
357,Ty Johnson,NYJ,RB,ARI,ARI,7.5,47.0,0.62,0.00,0.00,0.00,1.00,4.10,0.01,0.07,0.90,0.01
359,Tyrie Cleveland,DEN,WR,NE,NE,11,,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.55,5.90,0.00
360,Cam Sims,WAS,WR,LAR,LAR,7.5,46.5,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.63,5.67,0.00
361,Dede Westbrook,JAX,WR,HOU,HOU,5.5,54.5,0.53,0.00,0.00,0.00,0.04,0.19,0.00,0.33,3.92,0.02
363,Jakobi Meyers,NE,WR,DEN,NE,-11.0,,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.32,4.00,0.02
364,Virgil Green,LAC,TE,NO,NO,8,50.5,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.62,5.16,0.00
365,DeAndre Carter,HOU,WR,JAX,HOU,-5.5,54.5,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.37,4.03,0.02
366,Luke Stocker,ATL,TE,CAR,ATL,-1.0,53.5,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.53,5.14,0.00
367,Byron Pringle,KC,WR,LV,KC,-11.0,55.5,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.29,3.76,0.02
368,Eno Benjamin,ARI,RB,NYJ,ARI,-7.5,47.0,0.49,0.00,0.00,0.00,0.60,2.63,0.01,0.17,1.11,0.01
372,Gunner Olszewski,NE,WR,DEN,NE,-11.0,,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.36,3.73,0.02
371,Albert Okwuegbunam,DEN,TE,NE,NE,11,,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.36,3.73,0.02
373,Ashton Dulin,IND,WR,CLE,IND,-1.0,47.5,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.39,3.59,0.02
374,Jason Huntley,PHI,RB,PIT,PIT,7,44.0,0.48,0.00,0.00,0.00,0.50,2.32,0.01,0.13,1.83,0.00
375,Darwin Thompson,KC,RB,LV,KC,-11.0,55.5,0.47,0.00,0.00,0.00,0.60,2.86,0.01,0.09,0.65,0.01
377,J.J. Taylor,NE,RB,DEN,NE,-11.0,,0.46,0.00,0.00,0.00,0.80,3.64,0.00,0.16,0.91,0.00
378,Collin Johnson,JAX,WR,HOU,HOU,5.5,54.5,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.32,3.43,0.02
379,Joe Reed,LAC,WR,NO,NO,8,50.5,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.31,3.29,0.02
380,Adam Shaheen,MIA,TE,SF,SF,9,50.5,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.48,4.41,0.00
381,Chris Manhertz,CAR,TE,ATL,ATL,1,53.5,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.52,4.11,0.00
382,John Ross,CIN,WR,BAL,BAL,12.5,50.5,0.40,0.00,0.00,0.00,0.02,0.11,0.00,0.16,2.69,0.02
383,Levine Toilolo,NYG,TE,DAL,DAL,8.5,54.0,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.42,3.99,0.00
385,Geoff Swaim,TEN,TE,BUF,-,-,,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.42,3.76,0.00
386,Stephen Carlson,CLE,TE,IND,IND,1,47.5,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.40,3.77,0.00
387,DeeJay Dallas,SEA,RB,MIN,SEA,-7.0,57.0,0.34,0.00,0.00,0.00,0.40,1.95,0.01,0.09,0.85,0.00
388,Alex Erickson,CIN,WR,BAL,BAL,12.5,50.5,0.34,0.00,0.00,0.00,0.03,0.13,0.00,0.22,2.63,0.01
389,Justice Hill,BAL,RB,CIN,BAL,-12.5,50.5,0.31,0.00,0.00,0.00,0.20,0.93,0.01,0.09,0.92,0.01
390,Mike Boone,MIN,RB,SEA,SEA,7,57.0,0.28,0.00,0.00,0.00,0.50,2.17,0.01,0.00,0.00,0.00
391,Qadree Ollison,ATL,RB,CAR,ATL,-1.0,53.5,0.25,0.00,0.00,0.00,0.30,1.27,0.02,0.00,0.00,0.00
392,Trayveon Williams,CIN,RB,BAL,BAL,12.5,50.5,0.25,0.00,0.00,0.00,0.50,1.93,0.01,0.00,0.00,0.00
393,Bennie Fowler,NO,WR,LAC,NO,-8.0,50.5,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.18,1.91,0.01
394,Charlie Woerner,SF,TE,MIA,SF,-9.0,50.5,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.22,2.27,0.00
395,Tyler Davis,JAX,TE,HOU,HOU,5.5,54.5,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2.15,0.00
396,Nick Keizer,KC,TE,LV,KC,-11.0,55.5,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.24,1.92,0.00
397,DeAndre Washington,KC,RB,LV,KC,-11.0,55.5,0.16,0.00,0.00,0.00,0.20,0.87,0.00,0.09,0.77,0.00
398,Brycen Hopkins,LAR,TE,WAS,LAR,-7.5,46.5,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.55,0.00
399,Ricky Seals-Jones,KC,TE,LV,KC,-11.0,55.5,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.94,0.01
401,Andre Roberts,BUF,WR,TEN,-,-,,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.47,0.00
402,Dante Pettis,SF,WR,MIA,SF,-9.0,50.5,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.72,0.01
403,Donald Parham,LAC,TE,NO,NO,8,50.5,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.12,1.29,0.00
404,Pharoh Cooper,CAR,WR,ATL,ATL,1,53.5,0.09,0.00,0.00,0.00,0.00,0.02,0.00,0.08,0.83,0.00
405,Mack Hollins,MIA,WR,SF,SF,9,50.5,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.68,0.00
406,Mike White,NYJ,QB,ARI,ARI,7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
407,Chris Thompson,SF,WR,MIA,SF,-9.0,50.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
408,Jonathan Ward,ARI,RB,NYJ,ARI,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
498,Isaiah Hodgins,BUF,WR,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590,Courtland Sutton,DEN,WR,NE,NE,11,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
411,Mike Glennon,JAX,QB,HOU,HOU,5.5,54.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412,Stephen Guidry,DAL,WR,NYG,DAL,-8.5,54.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
413,John Hurst,TB,WR,CHI,TB,-3.5,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
414,DeSean Jackson,PHI,WR,PIT,PIT,7,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
504,Adam Humphries,TEN,WR,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
