Rank,Team,Record,Div,Adj Off,Adj Def,Adj Rating,Adj Mean Rating,SOS,SOV
1,Baltimore Ravens,3-1,1-0,3.26,1.79,1.24,0.58,0.48,0.38
2,San Francisco 49ers,2-2,0-1,2.66,1.67,0.46,0.45,0.30,0.16
3,Kansas City Chiefs,4-0,1-0,2.95,1.96,0.89,0.39,0.42,0.40
4,Green Bay Packers,4-0,2-0,3.42,2.46,0.43,0.31,0.33,0.32
5,Buffalo Bills,4-0,2-0,2.94,2.14,0.59,0.31,0.41,0.37
6,Buffalo Bills,4-0,2-0,2.94,2.14,0.59,0.31,0.41,0.37
7,Los Angeles Rams,3-1,0-0,2.82,2.06,0.44,0.30,0.43,0.26
10,Indianapolis Colts,3-1,0-1,2.23,1.68,0.28,0.27,0.37,0.39
8,New England Patriots,2-2,1-0,2.56,1.92,0.62,0.27,0.62,0.39
9,New England Patriots,2-2,1-0,2.56,1.92,0.62,0.27,0.62,0.39
11,Pittsburgh Steelers,3-0,0-0,2.22,1.68,0.23,0.26,0.33,0.17
12,Seattle Seahawks,4-0,0-0,3.04,2.42,0.31,0.22,0.33,0.31
13,Tennessee Titans,3-0,1-0,2.49,2.17,0.20,0.12,0.43,0.34
14,Tennessee Titans,3-0,1-0,2.49,2.17,0.20,0.12,0.43,0.34
15,Tampa Bay Buccaneers,3-2,1-1,2.37,2.09,0.19,0.11,0.42,0.35
16,New Orleans Saints,2-2,1-0,3.07,2.73,0.32,0.10,0.58,0.49
18,Chicago Bears,4-1,1-0,1.75,1.75,-0.12,-0.01,0.33,0.18
17,Arizona Cardinals,2-2,1-0,2.32,2.31,-0.06,-0.01,0.43,0.37
19,Cleveland Browns,3-1,1-1,2.66,2.75,-0.07,-0.05,0.42,0.32
20,Los Angeles Chargers,1-3,0-1,2.00,2.14,-0.06,-0.08,0.57,0.33
21,Minnesota Vikings,1-3,0-1,2.27,2.46,-0.16,-0.09,0.59,0.13
22,Denver Broncos,1-3,0-0,1.82,1.99,-0.04,-0.10,0.55,0.14
23,Denver Broncos,1-3,0-0,1.82,1.99,-0.04,-0.10,0.55,0.14
24,Cincinnati Bengals,1-2-1,0-1,2.18,2.40,-0.21,-0.11,0.43,0.30
25,Carolina Panthers,2-2,0-1,2.29,2.54,-0.25,-0.12,0.51,0.41
26,Dallas Cowboys,1-3,0-0,2.58,2.93,-0.21,-0.14,0.57,0.11
27,Las Vegas Raiders,2-2,0-0,2.75,3.21,-0.39,-0.17,0.56,0.45
28,Miami Dolphins,1-3,0-2,2.23,2.62,-0.34,-0.18,0.59,0.32
29,Philadelphia Eagles,1-2-1,0-1,1.79,2.19,-0.41,-0.21,0.45,0.48
30,Atlanta Falcons,0-4,0-0,2.23,2.76,-0.43,-0.22,0.68,0.16
31,Jacksonville Jaguars,1-3,1-1,2.33,2.93,-0.76,-0.24,0.50,0.64
32,Houston Texans,0-4,0-0,2.23,2.87,-0.46,-0.26,0.61,0.17
33,Detroit Lions,1-3,0-2,2.20,2.99,-0.93,-0.32,0.63,0.46
34,Washington Football Team,1-3,1-0,1.65,2.55,-0.75,-0.45,0.54,0.26
35,New York Jets,0-4,0-1,1.59,2.56,-0.59,-0.48,0.57,0.14
36,New York Giants,0-4,0-0,1.53,2.72,-0.84,-0.58,0.62,0.11